accession,filed_date,acceptance_datetime,subject_cik,subject_name,ticker_raw,symbol,map_method,S,elig_ok,taint_ok,entry_dt,split,hold_label
0000895345-16-000455,2016-04-05,,1213037,"Trovagene, Inc.  (CRDF)  (CIK 0001213037)",CRDF,CRDF,ticker,64,True,True,2016-04-06,TRAIN,primary
0001193125-16-537274,2016-04-11,,1425292,"CVR PARTNERS, LP  (UAN)  (CIK 0001425292)",UAN,UAN,ticker,68,True,True,2016-04-12,TRAIN,primary
0001123292-16-002087,2016-04-13,,855658,LATTICE SEMICONDUCTOR CORP  (LSCC)  (CIK 0000855658),LSCC,LSCC,ticker,70,True,True,2016-04-14,TRAIN,primary
0001615774-16-005054,2016-04-21,,1574085,"Ashford Hospitality Prime, Inc.  (BHR, BHR-PB, BHR-PD)  (CIK 0001574085)",,BHR,cik,76,True,True,2016-04-22,TRAIN,primary
0000950103-16-012956,2016-04-29,,1611647,"Freshpet, Inc.  (FRPT)  (CIK 0001611647)",FRPT,FRPT,ticker,82,True,True,2016-05-02,TRAIN,primary
0001193125-16-577346,2016-05-04,,1389050,"Archrock, Inc.  (AROC)  (CIK 0001389050)",AROC,AROC,ticker,85,True,True,2016-05-05,TRAIN,primary
0000921895-16-004412,2016-05-10,,1624794,"CSW INDUSTRIALS, INC.  (CSWI)  (CIK 0001624794)",CSWI,CSW,cik,89,True,True,2016-05-11,TRAIN,primary
0001104659-16-120524,2016-05-12,,1653653,"Red Rock Resorts, Inc.  (RRR)  (CIK 0001653653)",RRR,RRR,ticker,91,True,True,2016-05-13,TRAIN,primary
0001193125-16-590532,2016-05-13,,1478242,Quintiles Transnational Holdings Inc.  (IQV)  (CIK 0001478242),IQV,IQV,ticker,92,True,True,2016-05-16,TRAIN,primary
0001193125-16-591961,2016-05-16,,1650664,"Editas Medicine, Inc.  (EDIT)  (CIK 0001650664)",EDIT,EDIT,ticker,93,True,True,2016-05-17,TRAIN,primary
0001559639-16-000005,2016-05-18,,1549346,"Shutterstock, Inc.  (SSTK)  (CIK 0001549346)",SSTK,SSTK,ticker,95,True,True,2016-05-19,TRAIN,primary
0000947871-16-001203,2016-05-20,,1652130,"Intellia Therapeutics, Inc.  (NTLA)  (CIK 0001652130)",NTLA,NTLA,ticker,97,True,True,2016-05-23,TRAIN,primary
0000807249-16-000389,2016-05-25,,1096752,EDGEWELL PERSONAL CARE Co  (EPC)  (CIK 0001096752),EPC,EPC,ticker,100,True,True,2016-05-26,TRAIN,primary
0001193125-16-604454,2016-05-26,,1650729,"SiteOne Landscape Supply, Inc.  (SITE)  (CIK 0001650729)",SITE,SITE,ticker,101,True,True,2016-05-27,TRAIN,primary
0000891836-16-000215,2016-05-27,,1091667,"CHARTER COMMUNICATIONS, INC. /MO/  (CHTR)  (CIK 0001091667)",CHTR,CHTR,ticker,102,True,True,2016-05-31,TRAIN,primary
0001062993-16-010054,2016-06-01,,1041514,NET 1 UEPS TECHNOLOGIES INC  (LSAK)  (CIK 0001041514),LSAK,LSAK,ticker,104,True,True,2016-06-02,TRAIN,primary
0001615774-16-005712,2016-06-01,,1621832,"Aqua Metals, Inc.  (AQMS)  (CIK 0001621832)",AQMS,AQMS,ticker,104,True,True,2016-06-02,TRAIN,primary
0001104659-16-126891,2016-06-13,,1425205,"Lion Biotechnologies, Inc.  (IOVA)  (CIK 0001425205)",IOVA,IOVA,ticker,112,True,True,2016-06-14,TRAIN,primary
0000919574-16-013677,2016-06-15,,1289877,Ship Finance International LTD  (SFL)  (CIK 0001289877),SFL,SFL,ticker,114,True,True,2016-06-16,TRAIN,primary
0001104659-16-128023,2016-06-17,,1533232,"Brookfield Renewable Partners L.P.  (BEP, BEPH, BEPI, BEPJ, BRENF, BEP-PA)  (CIK 0001533232)",,BEP,cik,116,True,True,2016-06-20,TRAIN,primary
0000894579-16-000265,2016-06-20,,315852,RANGE RESOURCES CORP  (RRC)  (CIK 0000315852),RRC,RRC,ticker,117,True,True,2016-06-21,TRAIN,primary
0000919574-16-013753,2016-06-21,,1577437,Ardmore Shipping Corp  (ASC)  (CIK 0001577437),ASC,ASC,ticker,118,True,True,2016-06-22,TRAIN,primary
0001062993-16-010289,2016-06-22,,730464,DEVRY EDUCATION GROUP INC.  (ATGE)  (CIK 0000730464),ATGE,CVSA,cik,119,True,True,2016-06-23,TRAIN,primary
0000950142-16-003976,2016-06-27,,1620280,"COMMUNICATIONS SALES & LEASING, INC.  (UNIT)  (CIK 0001620280)",UNIT,UNIT,ticker,122,True,True,2016-06-28,TRAIN,primary
0001144204-16-110031,2016-06-27,,1259429,"TICC Capital Corp.  (OXSQ, OXSQG, OXSQZ)  (CIK 0001259429)",,OXSQ,cik,122,True,True,2016-06-28,TRAIN,primary
0000921895-16-005035,2016-06-29,,1058811,IMMERSION CORP  (IMMR)  (CIK 0001058811),IMMR,IMMR,ticker,124,True,True,2016-06-30,TRAIN,primary
0001288136-16-000110,2016-07-06,,1009829,JAKKS PACIFIC INC  (JAKK)  (CIK 0001009829),JAKK,JAKK,ticker,128,True,True,2016-07-07,TRAIN,primary
0000947871-16-001326,2016-07-07,,1453687,SELECTA BIOSCIENCES INC  (RNAC)  (CIK 0001453687),RNAC,RNAC,ticker,129,True,True,2016-07-08,TRAIN,primary
0001418812-16-000158,2016-07-11,,1101215,ALLIANCE DATA SYSTEMS CORP  (BFH)  (CIK 0001101215),BFH,BFH,ticker,131,True,True,2016-07-12,TRAIN,primary
0000903423-16-001144,2016-07-12,,1309108,WEX Inc.  (WEX)  (CIK 0001309108),WEX,WEX,ticker,132,True,True,2016-07-13,TRAIN,primary
0001447387-16-000082,2016-07-26,,1589526,Blue Bird Corp  (BLBD)  (CIK 0001589526),BLBD,BLBD,ticker,142,True,True,2016-07-27,TRAIN,primary
0001541996-16-000005,2016-07-28,,97216,TEREX CORP  (TEX)  (CIK 0000097216),TEX,TEX,ticker,144,True,True,2016-07-29,TRAIN,primary
0001418812-16-000161,2016-07-29,,99780,TRINITY INDUSTRIES INC  (TRN)  (CIK 0000099780),TRN,TRN,ticker,145,True,True,2016-08-01,TRAIN,primary
0001144204-16-117720,2016-08-09,,1400810,"HCI Group, Inc.  (HCI, HCIIP)  (CIK 0001400810)",,HCI,cik,152,True,True,2016-08-10,TRAIN,primary
0000807249-16-000422,2016-08-10,,1364479,HERC HOLDINGS INC  (HRI)  (CIK 0001364479),HRI,HRI,ticker,153,True,True,2016-08-11,TRAIN,primary
0001539838-16-000214,2016-08-11,,1602065,Viper Energy Partners LP  (VNOM)  (CIK 0001602065),VNOM,VNOM,ticker,154,True,True,2016-08-12,TRAIN,primary
0001539838-16-000212,2016-08-11,,1539838,"Diamondback Energy, Inc.  (FANG)  (CIK 0001539838)",FANG,FANG,ticker,154,True,True,2016-08-12,TRAIN,primary
0000902664-16-007849,2016-08-12,,94344,STEWART INFORMATION SERVICES CORP  (STC)  (CIK 0000094344),STC,STC,ticker,155,True,True,2016-08-15,TRAIN,primary
0001104659-16-140738,2016-08-19,,1575793,Energous Corp  (WATT)  (CIK 0001575793),WATT,WATT,ticker,160,True,True,2016-08-22,TRAIN,primary
0001193125-16-686649,2016-08-22,,1564180,KNOT Offshore Partners LP  (KNOP)  (CIK 0001564180),KNOP,KNOP,ticker,161,True,True,2016-08-23,TRAIN,primary
0001193125-16-693810,2016-08-26,,1668397,"Medpace Holdings, Inc.  (MEDP)  (CIK 0001668397)",MEDP,MEDP,ticker,165,True,True,2016-08-29,TRAIN,primary
0001596770-16-000144,2016-08-26,,1377121,"Protagonist Therapeutics, Inc  (PTGX)  (CIK 0001377121)",PTGX,PTGX,ticker,165,True,True,2016-08-29,TRAIN,primary
0001104659-16-142846,2016-09-02,,1562401,"American Homes 4 Rent  (AMH, AMH-PG, AMH-PH)  (CIK 0001562401)",,AMH,cik,170,True,True,2016-09-06,TRAIN,primary
0001193125-16-702094,2016-09-06,,1058090,CHIPOTLE MEXICAN GRILL INC  (CMG)  (CIK 0001058090),CMG,CMG,ticker,171,True,True,2016-09-07,TRAIN,primary
0001104659-16-143997,2016-09-09,,1595761,WEIBO Corp  (WB)  (CIK 0001595761),WB,WB,ticker,174,True,True,2016-09-12,TRAIN,primary
0000840489-16-000161,2016-09-12,,1529864,"Enova International, Inc.  (ENVA)  (CIK 0001529864)",ENVA,ENVA,ticker,175,True,True,2016-09-13,TRAIN,primary
0001214659-16-013677,2016-09-16,,1130166,"Cyclacel Pharmaceuticals, Inc.  (CYCC, CYCCP)  (CIK 0001130166)",,BGMS,cik,179,True,True,2016-09-19,TRAIN,primary
0000919574-16-015526,2016-09-23,,832988,SIGNET JEWELERS LTD  (SIG)  (CIK 0000832988),SIG,SIG,ticker,184,True,True,2016-09-26,TRAIN,primary
0001123292-16-002780,2016-09-23,,1459200,"Alarm.com Holdings, Inc.  (ALRM)  (CIK 0001459200)",ALRM,ALRM,ticker,184,True,True,2016-09-26,TRAIN,primary
0001193125-16-727682,2016-09-30,,1564902,"SeaWorld Entertainment, Inc.  (PRKS)  (CIK 0001564902)",PRKS,PRKS,ticker,189,True,True,2016-10-03,TRAIN,primary
0001193125-16-731576,2016-10-05,,1671933,"Trade Desk, Inc.  (TTD)  (CIK 0001671933)",TTD,TTD,ticker,192,True,True,2016-10-06,TRAIN,primary
0000921895-16-005834,2016-10-06,,1574085,"Ashford Hospitality Prime, Inc.  (BHR, BHR-PB, BHR-PD)  (CIK 0001574085)",,BHR,cik,193,True,True,2016-10-07,TRAIN,primary
0001193125-16-735257,2016-10-11,,1674930,"Fulgent Genetics, Inc.  (FLGT)  (CIK 0001674930)",FLGT,FLGT,ticker,196,True,True,2016-10-12,TRAIN,primary
0001144204-16-128019,2016-10-13,,1478242,"Quintiles IMS Holdings, Inc.  (IQV)  (CIK 0001478242)",IQV,IQV,ticker,198,True,True,2016-10-14,TRAIN,primary
0000903423-16-001309,2016-10-17,,25232,COUSINS PROPERTIES INC  (CUZ)  (CIK 0000025232),CUZ,CUZ,ticker,200,True,True,2016-10-18,TRAIN,primary
0001193125-16-742865,2016-10-20,,921582,IMAX CORP  (IMAX)  (CIK 0000921582),IMAX,IMAX,ticker,203,True,True,2016-10-21,TRAIN,primary
0001104659-16-151364,2016-10-21,,1658566,"Centennial Resource Development, Inc.  (PR)  (CIK 0001658566)",PR,PR,ticker,204,True,True,2016-10-24,TRAIN,primary
0001193125-16-743888,2016-10-21,,1668717,"Anheuser-Busch InBev SA/NV  (BUD, BUDFF)  (CIK 0001668717)",,BUD,cik,204,True,True,2016-10-24,TRAIN,primary
0000897069-16-001088,2016-10-24,,1169770,"BANC OF CALIFORNIA, INC.  (BANC, BANC-PF)  (CIK 0001169770)",,BANC,cik,205,True,True,2016-10-25,TRAIN,primary
0000950157-16-002398,2016-10-26,,1274494,"FIRST SOLAR, INC.  (FSLR)  (CIK 0001274494)",FSLR,FSLR,ticker,207,True,True,2016-10-27,TRAIN,primary
0001140361-16-083687,2016-10-27,,94344,STEWART INFORMATION SERVICES CORP  (STC)  (CIK 0000094344),STC,STC,ticker,208,True,True,2016-10-28,TRAIN,primary
0001193125-16-755274,2016-11-01,,1388658,"iRhythm Technologies, Inc.  (IRTC)  (CIK 0001388658)",IRTC,IRTC,ticker,211,True,True,2016-11-02,TRAIN,primary
0001062993-16-012037,2016-11-07,,1043000,CAPITAL SENIOR LIVING CORP  (SNDA)  (CIK 0001043000),SNDA,SNDA,ticker,215,True,True,2016-11-08,TRAIN,primary
0001104659-16-156251,2016-11-10,,1527590,"Sutherland Asset Management Corp  (RC, RCB, RCC, RC-PC, RC-PE)  (CIK 0001527590)",,RC,cik,218,True,True,2016-11-11,TRAIN,primary
0001104659-16-156641,2016-11-14,,1590895,"Eldorado Resorts, Inc.  (CZR)  (CIK 0001590895)",CZR,CZR,ticker,220,True,True,2016-11-15,TRAIN,primary
0001104659-16-156984,2016-11-14,,1324424,"Expedia, Inc.  (EXPE)  (CIK 0001324424)",EXPE,EXPE,ticker,220,True,True,2016-11-15,TRAIN,primary
0000921895-16-006172,2016-11-14,,1585364,PERRIGO Co plc  (PRGO)  (CIK 0001585364),PRGO,PRGO,ticker,220,True,True,2016-11-15,TRAIN,primary
0000894579-16-000308,2016-11-15,,1673358,"Yum China Holdings, Inc.  (YUMC)  (CIK 0001673358)",YUMC,YUMC,ticker,221,True,True,2016-11-16,TRAIN,primary
0001193125-16-769866,2016-11-16,,107687,WINNEBAGO INDUSTRIES INC  (WGO)  (CIK 0000107687),WGO,WGO,ticker,222,True,True,2016-11-17,TRAIN,primary
0001104659-16-158394,2016-11-22,,1070423,"PLAINS ALL AMERICAN PIPELINE LP  (PAA, PAAPU)  (CIK 0001070423)",,PAA,cik,226,True,True,2016-11-23,TRAIN,primary
0001530950-16-000522,2016-12-01,,1530950,"Post Holdings, Inc.  (POST)  (CIK 0001530950)",POST,POST,ticker,232,True,True,2016-12-02,TRAIN,primary
0000898822-16-000521,2016-12-12,,943452,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP  (WAB)  (CIK 0000943452),WAB,WAB,ticker,239,True,True,2016-12-13,TRAIN,primary
0000898432-16-003263,2016-12-12,,723125,MICRON TECHNOLOGY INC  (MU)  (CIK 0000723125),MU,MU,ticker,239,True,True,2016-12-13,TRAIN,primary
0000950159-16-000825,2016-12-12,,1108134,BERKSHIRE HILLS BANCORP INC  (BHLB)  (CIK 0001108134),BHLB,BBT,cik,239,True,True,2016-12-13,TRAIN,primary
0000905718-16-001802,2016-12-13,,28823,"DIEBOLD NIXDORF, Inc  (DBD)  (CIK 0000028823)",DBD,DBD,ticker,240,True,True,2016-12-14,TRAIN,primary
0001062993-16-012696,2016-12-13,,1043000,CAPITAL SENIOR LIVING CORP  (SNDA)  (CIK 0001043000),SNDA,SNDA,ticker,240,True,True,2016-12-14,TRAIN,primary
0000899140-17-000005,2017-01-03,,1615063,"Inspired Entertainment, Inc.  (INSE)  (CIK 0001615063)",INSE,INSE,ticker,253,True,True,2017-01-04,TRAIN,primary
0001104659-17-000293,2017-01-03,,39911,GAP INC  (GAP)  (CIK 0000039911),GAP,GAP,ticker,253,True,True,2017-01-04,TRAIN,primary
0001587987-17-000007,2017-01-13,,1587987,"Newtek Business Services Corp.  (NEWT, NEWTG, NEWTI, NEWTZ)  (CIK 0001587987)",,NEWT,cik,261,True,True,2017-01-17,TRAIN,primary
0001213900-17-000374,2017-01-17,,1013871,"NRG ENERGY, INC.  (NRG)  (CIK 0001013871)",NRG,NRG,ticker,262,True,True,2017-01-18,TRAIN,primary
0000921895-17-000080,2017-01-24,,1169770,"BANC OF CALIFORNIA, INC.  (BANC, BANC-PF)  (CIK 0001169770)",,BANC,cik,267,True,True,2017-01-25,TRAIN,primary
0000945621-17-000020,2017-01-24,,1323885,"AtriCure, Inc.  (ATRC)  (CIK 0001323885)",ATRC,ATRC,ticker,267,True,True,2017-01-25,TRAIN,primary
0000921895-17-000101,2017-01-26,,1517175,"Chefs' Warehouse, Inc.  (CHEF)  (CIK 0001517175)",CHEF,CHEF,ticker,269,True,True,2017-01-27,TRAIN,primary
0001193805-17-000069,2017-01-30,,933036,RENT A CENTER INC DE  (UPBD)  (CIK 0000933036),UPBD,UPBD,ticker,271,True,True,2017-01-31,TRAIN,primary
0000752642-17-000001,2017-01-30,,752642,"UMH PROPERTIES, INC.  (UMH, UMH-PD)  (CIK 0000752642)",,UMH,cik,271,True,True,2017-01-31,TRAIN,primary
0000919574-17-001044,2017-02-07,,1578453,"Dynagas LNG Partners LP  (DLNG, DLNG-PA, DLNG-PB)  (CIK 0001578453)",,DLNG,cik,277,True,True,2017-02-08,TRAIN,primary
0000914121-17-000157,2017-02-08,,910521,DECKERS OUTDOOR CORP  (DECK)  (CIK 0000910521),DECK,DECK,ticker,278,True,True,2017-02-09,TRAIN,primary
0001072613-17-000066,2017-02-10,,1370053,ANAPTYSBIO INC  (ANAB)  (CIK 0001370053),ANAB,ANAB,ticker,280,True,True,2017-02-13,TRAIN,primary
0001144204-17-007282,2017-02-10,,1009829,JAKKS PACIFIC INC  (JAKK)  (CIK 0001009829),JAKK,JAKK,ticker,280,True,True,2017-02-13,TRAIN,primary
0000078003-17-000006,2017-02-13,,883984,ICU MEDICAL INC/DE  (ICUI)  (CIK 0000883984),ICUI,ICUI,ticker,281,True,True,2017-02-14,TRAIN,primary
0000893750-17-000003,2017-02-13,,937098,TRINET GROUP INC  (TNET)  (CIK 0000937098),TNET,TNET,ticker,281,True,True,2017-02-14,TRAIN,primary
0001193125-17-043696,2017-02-14,,1173514,"HYSTER-YALE MATERIALS HANDLING, INC.  (HY)  (CIK 0001173514)",HY,HY,ticker,282,True,True,2017-02-15,TRAIN,primary
0001144204-17-008115,2017-02-14,,1490349,"Medley Capital Corp  (PFX, PFXNZ)  (CIK 0001490349)",,PFX,cik,282,True,True,2017-02-15,TRAIN,primary
0001104659-17-009917,2017-02-16,,912766,"LAUREATE EDUCATION, INC.  (LAUR)  (CIK 0000912766)",LAUR,LAUR,ticker,284,True,True,2017-02-17,TRAIN,primary
0001104659-17-010225,2017-02-17,,1657788,"Kimbell Royalty Partners, LP  (KRP)  (CIK 0001657788)",KRP,KRP,ticker,285,True,True,2017-02-21,TRAIN,primary
0000921895-17-000438,2017-02-21,,1041024,"ROCKWELL MEDICAL, INC.  (RMTI)  (CIK 0001041024)",RMTI,RMTI,ticker,286,True,True,2017-02-22,TRAIN,primary
0001193125-17-050387,2017-02-21,,1687187,"Ramaco Resources, Inc.  (METC, METCB, METCL)  (CIK 0001687187)",,METC,cik,286,True,True,2017-02-22,TRAIN,primary
0000921895-17-000445,2017-02-21,,1625101,"Pulse Biosciences, Inc.  (PLSE)  (CIK 0001625101)",PLSE,PLSE,ticker,286,True,True,2017-02-22,TRAIN,primary
0000897069-17-000140,2017-02-27,,1157647,"Western New England Bancorp, Inc.  (WNEB)  (CIK 0001157647)",WNEB,WNEB,ticker,290,True,True,2017-02-28,TRAIN,primary
0001213900-17-002028,2017-03-06,,910606,"REGENCY CENTERS CORP  (REG, REGCO, REGCP)  (CIK 0000910606)",,REG,cik,295,True,True,2017-03-07,TRAIN,primary
0001193125-17-080337,2017-03-13,,1577670,Ladder Capital Corp  (LADR)  (CIK 0001577670),LADR,LADR,ticker,300,True,True,2017-03-14,TRAIN,primary
0001193125-17-079434,2017-03-13,,1108109,COMMUNITY HEALTH SYSTEMS INC  (CYH)  (CIK 0001108109),CYH,CYH,ticker,300,True,True,2017-03-14,TRAIN,primary
0000950157-17-000374,2017-03-14,,1503584,"Costamare Inc.  (CMRE, CMRE-PB, CMRE-PC, CMRE-PD)  (CIK 0001503584)",,CMRE,cik,301,True,True,2017-03-15,TRAIN,primary
0001193125-17-080794,2017-03-14,,1171486,NATURAL RESOURCE PARTNERS LP  (NRP)  (CIK 0001171486),NRP,NRP,ticker,301,True,True,2017-03-15,TRAIN,primary
0001193125-17-082021,2017-03-14,,3197,CECO ENVIRONMENTAL CORP  (CECO)  (CIK 0000003197),CECO,CECO,ticker,301,True,True,2017-03-15,TRAIN,primary
0000905718-17-000350,2017-03-14,,812074,OWENS ILLINOIS INC /DE/  (OI)  (CIK 0000812074),OI,OI,ticker,301,True,True,2017-03-15,TRAIN,primary
0000895345-17-000140,2017-03-15,,876883,MDC PARTNERS INC  (STGW)  (CIK 0000876883),STGW,STGW,ticker,302,True,True,2017-03-16,TRAIN,primary
0001418812-17-000025,2017-03-16,,885590,"Valeant Pharmaceuticals International, Inc.  (BHC)  (CIK 0000885590)",BHC,BHC,ticker,303,True,True,2017-03-17,TRAIN,primary
0001273303-17-000006,2017-03-17,,1433642,Hamilton Lane INC  (HLNE)  (CIK 0001433642),HLNE,HLNE,ticker,304,True,True,2017-03-20,TRAIN,primary
0001193125-17-093431,2017-03-23,,886977,METHANEX CORP  (MEOH)  (CIK 0000886977),MEOH,MEOH,ticker,308,True,True,2017-03-24,TRAIN,primary
0001193125-17-095631,2017-03-24,,1617406,Park Hotels & Resorts Inc.  (PK)  (CIK 0001617406),PK,PK,ticker,309,True,True,2017-03-27,TRAIN,primary
0001193125-17-095641,2017-03-24,,1674168,Hilton Grand Vacations Inc.  (HGV)  (CIK 0001674168),HGV,HGV,ticker,309,True,True,2017-03-27,TRAIN,primary
0001193125-17-095627,2017-03-24,,1585689,Hilton Worldwide Holdings Inc.  (HLT)  (CIK 0001585689),HLT,HLT,ticker,309,True,True,2017-03-27,TRAIN,primary
0001193125-17-099889,2017-03-28,,14693,"BROWN FORMAN CORP  (BF-A, BF-B)  (CIK 0000014693)",,BF.A,cik,311,True,True,2017-03-29,TRAIN,primary
0001193125-17-123293,2017-04-13,,1401521,UNITED INSURANCE HOLDINGS CORP.  (ACIC)  (CIK 0001401521),ACIC,ACIC,ticker,323,True,True,2017-04-17,TRAIN,primary
0001193125-17-126229,2017-04-17,,1062231,AMERICAN AXLE & MANUFACTURING HOLDINGS INC  (AXL)  (CIK 0001062231),AXL,DCH,cik,324,True,True,2017-04-18,TRAIN,primary
0001193125-17-126146,2017-04-17,,1687932,"J.Jill, Inc.  (JILL)  (CIK 0001687932)",JILL,JILL,ticker,324,True,True,2017-04-18,TRAIN,primary
0000892712-17-000360,2017-04-21,,1692063,"Schneider National, Inc.  (SNDR)  (CIK 0001692063)",SNDR,SNDR,ticker,328,True,True,2017-04-24,TRAIN,primary
0000905148-17-000500,2017-04-26,,891166,"UNIVERSAL INSURANCE HOLDINGS, INC.  (UVE)  (CIK 0000891166)",UVE,UVE,ticker,331,True,True,2017-04-27,TRAIN,primary
0000921895-17-001239,2017-05-01,,1564902,"SeaWorld Entertainment, Inc.  (PRKS)  (CIK 0001564902)",PRKS,PRKS,ticker,334,True,True,2017-05-02,TRAIN,primary
0001058854-17-000016,2017-05-01,,1333493,"eHealth, Inc.  (EHTH)  (CIK 0001333493)",EHTH,EHTH,ticker,334,True,True,2017-05-02,TRAIN,primary
0001193125-17-153952,2017-05-02,,1159508,"DEUTSCHE BANK AKTIENGESELLSCHAFT  (DB, DGP, DGZ, DZZ, ADZCF, DEENF, OLOXF)  (CIK 0001159508)",,DB,cik,335,True,True,2017-05-03,TRAIN,primary
0001011438-17-000194,2017-05-08,,18926,"CENTURYLINK, INC  (LUMN)  (CIK 0000018926)",LUMN,LUMN,ticker,339,True,True,2017-05-09,TRAIN,primary
0000895345-17-000195,2017-05-08,,1037976,JONES LANG LASALLE INC  (JLL)  (CIK 0001037976),JLL,JLL,ticker,339,True,True,2017-05-09,TRAIN,primary
0001013594-17-000386,2017-05-12,,1058811,IMMERSION CORP  (IMMR)  (CIK 0001058811),IMMR,IMMR,ticker,343,True,True,2017-05-15,TRAIN,primary
0001104659-17-032337,2017-05-12,,1507079,"Floor & Decor Holdings, Inc.  (FND)  (CIK 0001507079)",FND,FND,ticker,343,True,True,2017-05-15,TRAIN,primary
