symbol,H1-2025,H2-2025,VAL,INTERSECT
ACNT,True,True,True,True
ACOG,True,True,True,True
ACON,True,True,True,True
ACONW,True,True,True,True
ACP,True,True,True,True
ACP-A,True,True,True,True
ACR,True,True,True,True
ACR-C,True,True,True,True
ACR-D,True,True,True,True
ACRE,True,True,True,True
ACRS,True,True,True,True
ACRV,True,True,True,True
ACSG,False,False,True,False
ACSI,True,True,True,True
ACSV,False,False,True,False
ACT,True,True,True,True
ACTG,True,True,True,True
ACTU,True,True,True,True
ACTV,True,False,False,False
ACU,True,True,True,True
ACV,True,True,True,True
ACVA,True,True,True,True
ACVF,True,True,True,True
ACVT,False,True,True,False
ACWI,True,True,True,True
ACWV,True,True,True,True
ACWX,True,True,True,True
ACXP,True,True,True,True
AD,False,False,True,False
ADACU,False,False,True,False
ADAG,True,True,True,True
ADAM,False,False,True,False
ADAMG,False,False,True,False
ADAMH,False,False,True,False
ADAMI,False,False,True,False
ADAML,False,False,True,False
ADAMM,False,False,True,False
ADAMN,False,False,True,False
ADAMO,False,False,True,False
ADAMZ,False,False,True,False
ADAP,True,False,False,False
ADBE,True,True,True,True
ADBG,False,True,True,False
ADC,True,True,True,True
ADC-A,True,True,True,True
ADCT,True,True,True,True
ADD,True,False,False,False
ADEA,True,True,True,True
ADFI,True,True,True,True
ADGM,True,True,True,True
ADI,True,True,True,True
ADIL,True,True,True,True
ADIV,True,True,True,True
ADM,True,True,True,True
ADMA,True,True,True,True
ADME,True,True,True,True
ADN,True,False,False,False
ADNT,True,True,True,True
ADNWW,True,False,False,False
ADP,True,True,True,True
ADPT,True,True,True,True
ADPV,True,True,True,True
ADSE,True,True,True,True
ADSEW,True,True,True,True
ADSK,True,True,True,True
ADT,True,True,True,True
ADTN,True,True,True,True
ADTX,True,True,True,True
ADUR,True,True,True,True
ADUS,True,True,True,True
ADV,True,True,True,True
ADVB,False,True,True,False
ADVE,True,True,True,True
ADVM,True,True,False,False
ADVWW,True,False,False,False
ADX,True,True,True,True
ADXN,True,True,True,True
AEAQ,False,False,True,False
AEAQU,False,False,True,False
AEAQW,False,False,True,False
AEBI,False,True,True,False
AEC,False,False,True,False
AEE,True,True,True,True
AEF,True,True,True,True
AEFC,True,True,True,True
AEG,True,True,True,True
AEHL,True,True,True,True
AEHR,True,True,True,True
AEI,True,True,True,True
AEIS,True,True,True,True
AEM,True,True,True,True
AEMD,True,True,True,True
AEMS,False,True,True,False
AENT,True,True,True,True
AENTW,True,True,True,True
AEO,True,True,True,True
AEON,True,True,True,True
AEP,True,True,True,True
AER,True,True,True,True
AERO,False,False,True,False
AERT,True,True,True,True
AERTW,True,True,True,True
AES,True,True,True,True
AESI,True,True,True,True
AESR,True,True,True,True
AETH,True,True,True,True
AEVA,True,True,True,True
AEVAW,True,True,False,False
AEXA,False,False,True,False
AEYE,True,True,True,True
AFB,True,True,True,True
AFBI,True,True,True,True
AFCG,True,True,True,True
AFG,True,True,True,True
AFGB,True,True,True,True
AFGC,True,True,True,True
AFGD,True,True,True,True
AFGE,True,True,True,True
AFIF,True,True,True,True
AFIX,True,True,True,True
AFJK,True,True,True,True
AFJKR,True,True,True,True
AFJKU,True,True,True,True
AFK,True,True,True,True
AFL,True,True,True,True
AFLG,True,True,True,True
AFMC,True,True,True,True
AFOS,False,True,True,False
AFRI,True,True,True,True
AFRIW,True,True,True,True
AFRM,True,True,True,True
AFRU,False,False,True,False
AFSC,False,True,True,False
AFSM,True,True,True,True
AFYA,True,True,True,True
AG,True,True,True,True
AGAE,True,True,True,True
AGCC,False,False,True,False
AGCO,True,True,True,True
AGD,True,True,True,True
AGEM,False,True,True,False
AGEN,True,True,True,True
AGFY,True,False,False,False
AGG,True,True,True,True
AGGA,False,True,True,False
AGGH,True,True,True,True
AGGS,True,True,True,True
AGGY,True,True,True,True
AGH,False,True,True,False
AGI,True,True,True,True
AGIG,False,False,True,False
AGIH,True,False,False,False
AGIO,True,True,True,True
AGIQ,False,False,True,False
AGIX,True,True,True,True
AGL,True,True,True,True
AGM,True,True,True,True
AGM-D,True,True,True,True
AGM-E,True,True,True,True
AGM-F,True,True,True,True
AGM-G,True,True,True,True
AGM-H,False,False,True,False
AGM.A,True,True,True,True
AGMH,True,True,True,True
AGMI,True,True,True,True
AGNC,True,True,True,True
AGNCL,True,True,True,True
AGNCM,True,True,True,True
AGNCN,True,True,True,True
AGNCO,True,True,True,True
AGNCP,True,True,True,True
AGNCZ,False,False,True,False
AGNG,True,True,True,True
AGO,True,True,True,True
AGOX,True,True,True,True
AGPU,False,False,True,False
AGQ,True,True,True,True
AGQI,True,True,True,True
AGRH,True,True,True,True
AGRI,True,False,False,False
AGRO,True,True,True,True
AGRW,False,True,True,False
AGRZ,False,False,True,False
AGS,True,False,False,False
AGX,True,True,True,True
AGYS,True,True,True,True
AGZ,True,True,True,True
AGZD,True,True,True,True
AHCO,True,True,True,True
AHG,True,True,True,True
AHH,True,True,False,False
AHH-A,True,True,False,False
AHL,False,True,False,False
AHL-D,True,True,True,True
AHL-E,True,True,True,True
AHL-F,True,True,True,True
AHLT,True,True,True,True
AHMA,False,False,True,False
AHR,True,True,True,True
AHT,True,True,True,True
AHT-D,True,True,True,True
AHT-F,True,True,True,True
AHT-G,True,True,True,True
AHT-H,True,True,True,True
AHT-I,True,True,True,True
AHYB,True,True,True,True
AI,True,True,True,True
AIA,True,True,True,True
AIBD,True,True,True,True
AIBU,True,True,True,True
AIEQ,True,True,True,True
AIFD,True,True,True,True
AIFF,True,True,True,True
AIFU,True,True,True,True
AIG,True,True,True,True
AIHS,True,True,True,True
AII,False,True,True,False
AIIA,False,False,True,False
AIIA=,False,False,True,False
AIIA^,False,False,True,False
AIIO,False,False,True,False
AIIOW,False,False,True,False
AIM,False,True,True,False
AIMD,True,True,True,True
AIMDW,True,True,True,True
AIN,True,True,True,True
AINP,True,True,True,True
AIO,True,True,True,True
AIOO,False,True,True,False
AIOT,True,True,True,True
AIP,True,True,True,True
AIPI,True,True,True,True
AIPO,False,True,True,False
AIQ,True,True,True,True
AIR,True,True,True,True
AIRE,True,True,True,True
AIRG,True,True,True,True
AIRI,True,True,True,True
AIRJ,True,True,True,True
AIRJW,True,True,True,True
AIRL,True,False,False,False
AIRO,False,True,True,False
AIRR,True,True,True,True
AIRS,True,True,True,True
AIRT,True,True,True,True
AIRTP,True,True,True,True
AIS,True,True,True,True
AISP,True,True,True,True
AISPW,True,True,True,True
AIT,True,True,True,True
AIV,True,True,True,True
AIVC,True,True,True,True
AIVI,True,True,True,True
AIVL,True,True,True,True
AIXC,False,False,True,False
AIXI,True,True,True,True
AIYY,True,True,True,True
AIZ,True,True,True,True
AIZN,True,True,True,True
AJAN,True,True,True,True
AJG,True,True,True,True
AJUL,True,True,True,True
AKA,True,True,True,True
AKAF,False,True,True,False
AKAM,True,True,True,True
AKAN,True,True,True,True
AKBA,True,True,True,True
AKO.A,True,True,True,True
AKO.B,True,True,True,True
AKR,True,True,True,True
AKRE,False,False,True,False
AKRO,True,True,False,False
AKTS,False,False,True,False
AKTX,True,True,True,True
AKYA,True,False,False,False
AL,True,True,False,False
ALAB,True,True,True,True
ALAI,True,True,True,True
ALAR,True,True,True,True
ALB,True,True,True,True
ALB-A,True,True,True,True
ALBG,False,False,True,False
ALBT,True,True,True,True
ALC,True,True,True,True
ALCO,True,True,True,True
ALCY,True,True,True,True
ALCYU,True,True,True,True
ALCYW,True,True,True,True
ALDF,True,True,True,True
ALDFU,True,True,True,True
ALDFW,True,True,True,True
ALDX,True,True,True,True
ALE,True,True,False,False
ALEC,True,True,True,True
ALEX,True,True,False,False
ALF,True,True,True,True
ALFUU,True,True,True,True
ALFUW,True,True,True,True
ALG,True,True,True,True
ALGM,True,True,True,True
ALGN,True,True,True,True
ALGS,True,True,True,True
ALGT,True,True,True,True
ALH,False,False,True,False
ALHC,True,True,True,True
ALIL,False,True,True,False
ALIS,False,False,True,False
ALISR,False,False,True,False
ALISU,False,False,True,False
ALIT,True,True,True,True
ALK,True,True,True,True
ALKS,True,True,True,True
ALKT,True,True,True,True
ALL,True,True,True,True
ALL-B,True,True,True,True
ALL-H,True,True,True,True
ALL-I,True,True,True,True
ALL-J,True,True,True,True
ALLE,True,True,True,True
ALLO,True,True,True,True
ALLR,True,True,True,True
ALLT,True,True,True,True
ALLW,False,True,True,False
ALLY,True,True,True,True
ALM,False,True,True,False
ALMS,True,True,True,True
ALMU,False,True,True,False
ALNT,True,True,True,True
ALNY,True,True,True,True
ALOT,True,True,True,True
ALOVU,False,False,True,False
ALPS,False,False,True,False
ALRG,False,True,True,False
ALRM,True,True,True,True
ALRS,True,True,True,True
ALSN,True,True,True,True
ALT,True,True,True,True
ALTG,True,True,True,True
ALTG-A,True,True,True,True
ALTI,True,True,True,True
ALTL,True,True,True,True
ALTO,True,True,True,True
ALTS,True,True,False,False
ALTY,True,True,True,True
ALUB,False,False,True,False
ALUB+,False,False,True,False
ALUB=,False,False,True,False
ALUR,True,True,False,False
ALUR+,True,True,False,False
ALV,True,True,True,True
ALVO,True,True,True,True
ALVOW,True,True,True,True
ALX,True,True,True,True
ALXO,True,True,True,True
ALZN,True,True,True,True
AM,True,True,True,True
AMAL,True,True,True,True
AMAT,True,True,True,True
AMAX,True,True,True,True
AMBA,True,True,True,True
AMBC,True,False,False,False
AMBI,True,False,False,False
AMBI+,True,False,False,False
AMBO,True,True,True,True
AMBP,True,True,True,True
AMBP+,True,False,False,False
AMBQ,False,True,True,False
AMBR,False,True,True,False
AMC,True,True,True,True
AMCI,False,False,True,False
AMCR,True,True,True,True
AMCX,True,True,True,True
AMD,True,True,True,True
AMDD,False,True,True,False
AMDG,True,True,True,True
AMDL,True,True,True,True
AMDS,True,False,False,False
AMDW,False,True,True,False
AMDY,True,True,True,True
AME,True,True,True,True
AMED,True,False,False,False
AMG,True,True,True,True
AMGN,True,True,True,True
AMH,True,True,True,True
AMH-G,True,True,True,True
AMH-H,True,True,True,True
AMID,True,True,True,True
AMIX,True,True,True,True
AMJB,True,True,True,True
AMKR,True,True,True,True
AMLP,True,True,True,True
AMLX,True,True,True,True
AMN,True,True,True,True
AMOD,True,True,True,True
AMODW,True,True,True,True
AMOM,True,True,True,True
AMP,True,True,True,True
AMPG,True,True,True,True
AMPGW,True,True,False,False
AMPH,True,True,True,True
AMPL,True,True,True,True
AMPX,True,True,True,True
AMPX+,True,True,True,True
AMPY,True,True,True,True
AMR,True,True,True,True
AMRC,True,True,True,True
AMRK,True,True,False,False
AMRN,True,True,True,True
AMRX,True,True,True,True
AMRZ,False,True,True,False
AMS,True,True,True,True
AMSC,True,True,True,True
AMSF,True,True,True,True
AMST,True,True,True,True
AMT,True,True,True,True
AMTB,True,True,True,True
AMTD,True,True,True,True
AMTM,True,True,True,True
AMTX,True,True,True,True
AMUB,True,True,True,True
AMUN,False,False,True,False
AMUU,False,True,True,False
AMWD,True,True,True,True
AMWL,True,True,True,True
AMX,True,True,True,True
AMYY,False,False,True,False
AMZA,True,True,True,True
AMZD,True,True,True,True
AMZE,False,True,True,False
AMZN,True,True,True,True
AMZP,True,True,True,True
AMZU,True,True,True,True
AMZW,False,True,True,False
AMZY,True,True,True,True
AMZZ,True,True,True,True
AN,True,True,True,True
ANAB,True,True,True,True
ANDE,True,True,True,True
ANDG,False,False,True,False
ANEB,True,True,False,False
ANEL,False,False,True,False
ANET,True,True,True,True
ANEW,True,True,True,True
ANF,True,True,True,True
ANG-B,True,False,False,False
ANG-D,True,True,True,True
ANGH,True,True,True,True
ANGHW,True,True,True,True
ANGI,True,True,True,True
ANGL,True,True,True,True
ANGO,True,True,True,True
ANGX,False,False,True,False
ANIK,True,True,True,True
ANIP,True,True,True,True
ANIX,True,True,True,True
ANL,True,True,True,True
ANNA,True,True,True,True
ANNAW,True,True,True,True
ANNX,True,True,True,True
ANPA,False,True,True,False
ANRO,True,True,True,True
ANSC,True,True,True,True
ANSCU,True,True,True,True
ANSCW,True,True,True,True
ANSS,True,False,False,False
ANTA,False,True,True,False
ANTE,True,False,False,False
ANTX,True,True,True,True
ANVS,True,True,True,True
ANY,True,True,True,True
AOA,True,True,True,True
AOCT,True,True,True,True
AOD,True,True,True,True
AOHY,True,True,True,True
AOK,True,True,True,True
AOM,True,True,True,True
AOMD,False,True,True,False
AOMN,True,True,True,True
AOMR,True,True,True,True
AON,True,True,True,True
AOR,True,True,True,True
AORT,True,True,True,True
AOS,True,True,True,True
AOSL,True,True,True,True
AOTG,True,True,True,True
AOTS,False,False,True,False
AOUT,True,True,True,True
AP,True,True,True,True
AP+,True,False,False,False
APA,True,True,True,True
APAC,False,False,True,False
APACR,False,False,True,False
APACU,False,False,True,False
APAD,False,False,True,False
APADR,False,False,True,False
APADU,False,True,True,False
APAM,True,True,True,True
APCB,True,True,True,True
APD,True,True,True,True
APDN,True,False,False,False
APED,False,True,False,False
APEI,True,True,True,True
APG,True,True,True,True
APGE,True,True,True,True
APH,True,True,True,True
API,True,True,True,True
APIE,True,True,True,True
APLD,True,True,True,True
APLE,True,True,True,True
APLM,True,True,True,True
APLMW,True,True,True,True
APLS,True,True,True,True
APLT,True,True,False,False
APLU,True,True,True,True
APLX,False,False,True,False
APLY,True,True,True,True
APLZ,False,False,True,False
APM,True,True,True,True
APMU,True,True,True,True
APO,True,True,True,True
APO-A,True,True,True,True
APOC,True,True,True,True
APOG,True,True,True,True
APOS,True,True,True,True
APP,True,True,True,True
APPF,True,True,True,True
APPN,True,True,True,True
APPS,True,True,True,True
APPX,False,True,True,False
APRB,False,False,True,False
APRE,True,True,True,True
APRH,True,True,True,True
APRJ,True,True,True,True
APRP,True,True,True,True
APRT,True,True,True,True
APRW,True,True,True,True
APRZ,True,True,True,True
APT,True,True,True,True
APTV,True,True,True,True
APUE,True,True,True,True
APUS,False,True,True,False
APVO,True,True,True,True
APWC,True,True,True,True
APXM,False,True,True,False
APXT,False,False,True,False
APXTU,False,False,True,False
APXTW,False,False,True,False
APYX,True,True,True,True
AQB,True,True,True,True
AQEC,False,False,True,False
AQLT,True,True,True,True
AQMS,True,True,True,True
AQN,True,True,True,True
AQNB,True,True,True,True
AQST,True,True,True,True
AQWA,True,True,True,True
AR,True,True,True,True
ARAI,False,True,True,False
ARAY,True,True,True,True
ARB,True,True,True,True
ARBB,True,True,True,True
ARBE,True,True,True,True
ARBEW,True,True,True,True
ARBK,True,True,True,True
ARBKL,True,True,False,False
ARCB,True,True,True,True
ARCC,True,True,True,True
ARCIU,False,False,True,False
ARCM,True,True,True,True
ARCO,True,True,True,True
ARCT,True,True,True,True
ARCX,False,True,True,False
ARDC,True,True,True,True
ARDT,True,True,True,True
ARDX,True,True,True,True
ARE,True,True,True,True
AREA,True,True,False,False
AREB,True,True,True,True
AREBW,True,True,True,True
AREC,True,True,True,True
AREN,True,True,True,True
ARES,True,True,True,True
ARES-B,True,True,True,True
ARGD,True,False,False,False
ARGO-A,True,False,False,False
ARGT,True,True,True,True
ARGX,True,True,True,True
ARHS,True,True,True,True
ARI,True,True,True,True
ARIS,True,False,False,False
ARKA,True,False,False,False
ARKB,True,True,True,True
ARKD,True,False,True,False
ARKF,True,True,True,True
ARKG,True,True,True,True
ARKK,True,True,True,True
ARKO,True,True,True,True
ARKOW,True,True,False,False
ARKQ,True,True,True,True
ARKR,True,True,True,True
ARKT,False,False,True,False
ARKW,True,True,True,True
ARKX,True,True,True,True
ARKZ,True,False,False,False
ARL,True,True,True,True
ARLO,True,True,True,True
ARLP,True,True,True,True
ARLU,True,True,True,True
ARM,True,True,True,True
ARMG,True,True,True,True
ARMH,False,True,True,False
ARMK,True,True,True,True
ARMN,True,True,False,False
ARMP,True,True,True,True
ARMU,False,True,False,False
ARMW,False,False,True,False
AROC,True,True,True,True
AROW,True,True,True,True
ARP,True,True,True,True
ARQ,True,True,True,True
ARQQ,True,True,True,True
ARQQW,True,True,True,True
ARQT,True,True,True,True
ARR,True,True,True,True
ARR-C,True,True,True,True
ARRY,True,True,True,True
ARTCU,False,False,True,False
ARTL,True,True,True,True
ARTNA,True,True,True,True
ARTV,True,True,True,True
ARTW,True,True,True,True
ARTY,True,True,True,True
ARVN,True,True,True,True
ARVR,True,True,True,True
ARW,True,True,True,True
ARWG,False,False,True,False
ARWR,True,True,True,True
ARX,False,True,True,False
AS,True,True,True,True
ASA,True,True,True,True
ASAN,True,True,True,True
ASB,True,True,True,True
ASB-E,True,True,True,True
ASB-F,True,True,True,True
ASBA,True,True,True,True
ASBP,False,True,True,False
ASBPW,False,True,True,False
ASC,True,True,True,True
ASCE,False,True,True,False
ASCI,False,False,True,False
ASEA,True,True,True,True
ASET,True,False,False,False
ASG,True,True,True,True
ASGI,True,True,True,True
ASGM,False,False,True,False
ASGN,True,True,False,False
ASH,True,True,True,True
ASHR,True,True,True,True
ASHS,True,True,True,True
ASIA,True,True,True,True
ASIC,False,True,True,False
ASIX,True,True,True,True
ASLE,True,True,True,True
ASLV,False,True,True,False
ASM,True,True,True,True
ASMB,True,True,True,True
ASMF,True,True,True,True
ASMG,True,True,True,True
ASMH,False,True,True,False
ASML,True,True,True,True
ASND,True,True,True,True
ASNS,True,True,False,False
ASO,True,True,True,True
ASPC,True,True,True,True
ASPCR,True,True,True,True
ASPCU,True,True,True,True
ASPI,True,True,True,True
ASPN,True,True,True,True
ASPS,True,True,True,True
ASPSW,False,True,True,False
ASPSZ,False,True,True,False
ASR,True,True,True,True
ASRT,True,True,True,True
ASRV,True,True,True,True
ASST,True,True,True,True
ASTC,True,True,True,True
ASTE,True,True,True,True
ASTH,True,True,True,True
ASTI,True,True,True,True
ASTL,True,True,True,True
ASTLW,True,True,True,True
ASTS,True,True,True,True
ASTX,False,True,True,False
ASUR,True,True,True,True
ASX,True,True,True,True
ASYS,True,True,True,True
ATAI,True,True,True,True
ATAT,True,True,True,True
ATCH,True,True,True,True
ATCO-D,True,False,False,False
ATCO-H,True,False,False,False
ATCOL,True,False,False,False
ATCX,False,False,True,False
ATEC,True,True,True,True
ATEN,True,True,True,True
ATER,True,True,True,True
ATEST,True,True,True,True
ATEST.A,True,True,True,True
ATEST.B,True,True,True,True
ATEST.C,True,True,True,True
ATEX,True,True,True,True
ATFV,True,True,True,True
ATGE,True,True,False,False
ATGL,True,True,True,True
ATH-A,True,True,True,True
ATH-B,True,True,True,True
ATH-C,True,False,False,False
ATH-D,True,True,True,True
ATH-E,True,True,True,True
ATHA,True,True,False,False
ATHE,True,True,True,True
ATHM,True,True,True,True
ATHR,False,True,True,False
ATHS,True,True,True,True
ATI,True,True,True,True
ATII,False,True,True,False
ATIIU,False,True,True,False
ATIIW,False,True,True,False
ATKR,True,True,True,True
ATLC,True,True,True,True
ATLCL,True,True,True,True
ATLCP,True,True,True,True
ATLCZ,True,True,True,True
ATLN,True,True,True,True
ATLO,True,True,True,True
ATLX,True,True,True,True
ATMC,True,True,False,False
ATMCR,True,True,False,False
ATMCU,True,True,False,False
ATMCW,True,True,False,False
ATMP,True,True,True,True
ATMU,True,True,True,True
ATMV,True,True,False,False
ATMVR,True,True,False,False
ATMVU,True,True,False,False
ATNF,True,False,False,False
ATNFW,True,False,False,False
ATNI,True,True,True,True
ATNM,True,True,True,True
ATO,True,True,True,True
ATOM,True,True,True,True
ATOS,True,True,True,True
ATPC,True,True,True,True
ATR,True,True,True,True
ATRA,True,True,True,True
ATRC,True,True,True,True
ATRO,True,True,True,True
ATS,True,True,True,True
ATTR,False,False,True,False
ATUS,True,False,False,False
ATXG,True,True,True,True
ATXS,True,True,False,False
ATYR,True,True,True,True
AU,True,True,True,True
AUAU,False,False,True,False
AUB,True,True,True,True
AUB-A,True,True,True,True
AUBN,True,True,True,True
AUDC,True,True,True,True
AUGM,True,True,True,True
AUGO,False,True,True,False
AUGP,True,True,True,True
AUGT,True,True,True,True
AUGU,True,True,True,True
AUGW,True,True,True,True
AUGZ,True,True,True,True
AUID,True,True,True,True
AUMI,True,True,True,True
AUNA,True,True,True,True
AUPH,True,True,True,True
AUR,True,True,True,True
AURA,True,True,True,True
AURE,False,False,True,False
AUROW,True,True,True,True
AUSF,True,True,True,True
AUSM,False,True,True,False
AUST,True,True,True,True
AUTL,True,True,True,True
AUUD,True,True,True,True
AUUDW,True,True,False,False
AVA,True,True,True,True
AVAH,True,True,True,True
AVAL,True,True,True,True
AVAV,True,True,True,True
AVB,True,True,True,True
AVBC,False,False,True,False
AVBH,False,False,True,False
AVBP,True,True,True,True
AVD,True,True,True,True
AVDE,True,True,True,True
AVDL,True,True,False,False
AVDS,True,True,True,True
AVDV,True,True,True,True
AVDX,True,False,False,False
AVEE,True,True,True,True
AVEM,True,True,True,True
AVES,True,True,True,True
AVGB,False,True,True,False
AVGE,True,True,True,True
AVGG,False,True,True,False
AVGO,True,True,True,True
AVGU,False,True,True,False
AVGV,True,True,True,True
AVGW,False,True,True,False
AVGX,True,True,True,True
AVIE,True,True,True,True
AVIG,True,True,True,True
AVIR,True,True,True,True
AVIV,True,True,True,True
AVK,True,True,True,True
AVL,True,True,True,True
AVLC,True,True,True,True
AVLV,True,True,True,True
AVMA,True,True,True,True
AVMC,True,True,True,True
AVMU,True,True,True,True
AVMV,True,True,True,True
AVNM,True,True,True,True
AVNS,True,True,True,True
AVNT,True,True,True,True
AVNV,True,True,True,True
AVNW,True,True,True,True
AVO,True,True,True,True
AVPT,True,True,True,True
AVPTW,True,False,False,False
AVR,True,True,True,True
AVRE,True,True,True,True
AVRY,False,False,True,False
AVS,True,True,True,True
AVSC,True,True,True,True
AVSD,True,True,True,True
AVSE,True,True,True,True
AVSF,True,True,True,True
AVSU,True,True,True,True
AVT,True,True,True,True
AVTR,True,True,True,True
AVTX,True,True,True,True
AVUQ,False,True,True,False
AVUS,True,True,True,True
AVUV,True,True,True,True
AVX,False,False,True,False
AVXC,True,True,True,True
AVXL,True,True,True,True
AVXX,False,False,True,False
AVY,True,True,True,True
AWAY,True,True,True,True
AWEG,True,True,False,False
AWF,True,True,True,True
AWI,True,True,True,True
AWK,True,True,True,True
AWP,True,True,True,True
AWR,True,True,True,True
AWRE,True,True,True,True
AWX,True,True,True,True
AX,True,True,True,True
AXG,False,False,True,False
AXGN,True,True,True,True
AXIA,False,False,True,False
AXIA-,False,False,True,False
AXIA-C,False,False,True,False
AXIL,True,True,True,True
AXIN,False,False,True,False
AXINR,False,False,True,False
AXINU,False,True,True,False
AXL,True,True,False,False
AXON,True,True,True,True
AXP,True,True,True,True
AXR,True,True,True,True
AXS,True,True,True,True
AXS-E,True,True,True,True
AXSM,True,True,True,True
AXTA,True,True,True,True
AXTI,True,True,True,True
AYI,True,True,True,True
AYRO,True,False,False,False
AYTU,True,True,True,True
AZ,True,True,True,True
AZEK,True,False,False,False
AZI,True,True,True,True
AZN,True,True,True,True
AZNH,True,True,False,False
AZO,True,True,True,True
AZTA,True,True,True,True
AZTD,True,True,True,True
AZTR,True,True,True,True
AZYY,False,False,True,False
AZZ,True,True,True,True
B,False,True,True,False
BA,True,True,True,True
BA-A,True,True,True,True
BAB,True,True,True,True
BABA,True,True,True,True
BABO,True,True,True,True
BABW,False,False,True,False
BABX,True,True,True,True
BAC,True,True,True,True
BAC-B,True,True,True,True
BAC-E,True,True,True,True
BAC-K,True,True,True,True
BAC-L,True,True,True,True
BAC-M,True,True,True,True
BAC-N,True,True,True,True
BAC-O,True,True,True,True
BAC-P,True,True,True,True
BAC-Q,True,True,True,True
BAC-S,True,True,True,True
BACC,False,False,True,False
BACCR,False,False,True,False
BACCU,False,True,True,False
BACQ,True,True,False,False
BACQR,True,True,False,False
BACQU,True,True,False,False
BAER,True,True,True,True
BAERW,True,True,True,True
BAFE,True,True,True,True
BAFN,True,True,True,True
BAGY,False,True,True,False
BAH,True,True,True,True
BAI,True,True,True,True
BAIG,False,False,True,False
BAK,True,True,True,True
BALI,True,True,True,True
BALL,True,True,True,True
BALQ,False,False,True,False
BALT,True,True,True,True
BALY,True,True,True,True
BAM,True,True,True,True
BAMA,True,True,True,True
BAMB,True,True,True,True
BAMD,True,True,True,True
BAMG,True,True,True,True
BAMO,True,True,True,True
BAMU,True,True,True,True
BAMV,True,True,True,True
BAMY,True,True,True,True
BANC,True,True,True,True
BANC-F,True,True,True,True
BAND,True,True,True,True
BANF,True,True,True,True
BANFP,True,True,True,True
BANL,True,True,True,True
BANR,True,True,True,True
BANX,True,True,True,True
BAOS,True,True,True,True
BAP,True,True,True,True
BAPR,True,True,True,True
BAR,True,True,True,True
BARK,True,True,True,True
BARK+,True,True,False,False
BASE,True,False,False,False
