kind,symbol,ex_date,old_rate,new_rate,ratio
reverse_splits,ADMP,2023-05-22,70,1,0.01428571429
reverse_splits,ADN,2024-05-14,30,1,0.03333333333
reverse_splits,ADNY,2021-08-12,40,1,0.025
reverse_splits,ADRO,2020-10-02,5,1,0.2
reverse_splits,ADTFF,2020-09-04,5,1,0.2
reverse_splits,ADTFF,2022-01-14,5,1,0.2
reverse_splits,ADTX,2022-09-14,50,1,0.02
reverse_splits,ADTX,2023-08-18,40,1,0.025
reverse_splits,ADTX,2024-10-02,40,1,0.025
reverse_splits,ADTX,2025-03-17,250,1,0.004
reverse_splits,ADTX,2025-11-03,113,1,0.008849557522
reverse_splits,ADTX,2026-03-09,8,1,0.125
reverse_splits,ADTX,2026-05-18,27,1,0.03703703704
reverse_splits,ADV,2026-03-27,25,1,0.04
reverse_splits,ADVB,2026-02-20,20,1,0.05
reverse_splits,ADVC,2022-01-14,20000,1,5e-05
reverse_splits,ADVM,2024-03-21,10,1,0.1
reverse_splits,ADXN,2023-10-23,20,1,0.05
reverse_splits,ADXS,2019-03-29,15,1,0.06666666667
reverse_splits,ADXS,2022-06-06,80,1,0.0125
forward_splits,ADYEY,2021-08-24,1,2,2
reverse_splits,AEHL,2023-03-24,4,1,0.25
reverse_splits,AEHL,2023-09-18,10,1,0.1
reverse_splits,AEHL,2025-04-04,40,1,0.025
reverse_splits,AEHL,2026-03-05,6,1,0.1666666667
reverse_splits,AEHL,2026-08-10,16,1,0.0625
reverse_splits,AEI,2022-12-28,20,1,0.05
reverse_splits,AEMD,2019-10-15,15,1,0.06666666667
reverse_splits,AEMD,2023-10-05,10,1,0.1
reverse_splits,AEMD,2025-06-09,8,1,0.125
reverse_splits,AEMD,2025-10-16,10,1,0.1
reverse_splits,AEMD,2025-10-20,10,1,0.1
reverse_splits,AEMD,2026-08-04,5,1,0.2
reverse_splits,AENZ,2022-11-22,3,1,0.3333333333
reverse_splits,AEON,2025-02-26,72,1,0.01388888889
reverse_splits,AEPT,2021-03-12,100,1,0.01
reverse_splits,AERT,2026-06-12,8,1,0.125
reverse_splits,AETI,2019-07-29,8,1,0.125
reverse_splits,AEVA,2024-03-19,5,1,0.2
reverse_splits,AEY,2023-11-16,10,1,0.1
reverse_splits,AEZS,2022-07-21,25,1,0.04
reverse_splits,AEZS,2024-05-03,4,1,0.25
reverse_splits,AFDG,2026-06-01,100,1,0.01
reverse_splits,AFFU,2026-04-16,1250,1,0.0008
forward_splits,AFL,2018-03-19,1,2,2
reverse_splits,AFMD,2024-03-11,10,1,0.1
reverse_splits,AFTC,2023-04-17,1000,1,0.001
forward_splits,AGBA,2024-10-02,1,1.9365,1.9365
reverse_splits,AGE,2024-03-15,35.17,1,0.02843332386
reverse_splits,AGEN,2024-04-12,20,1,0.05
reverse_splits,AGFAF,2021-08-27,150,1,0.006666666667
reverse_splits,AGFAF,2023-08-08,25,1,0.04
reverse_splits,AGFY,2022-10-18,10,1,0.1
reverse_splits,AGFY,2023-07-05,20,1,0.05
reverse_splits,AGFY,2024-10-08,15,1,0.06666666667
reverse_splits,AGGFF,2022-06-15,3,1,0.3333333333
reverse_splits,AGGI,2026-06-05,500,1,0.002
reverse_splits,AGL,2026-03-31,25,1,0.04
reverse_splits,AGLE,2023-09-08,25,1,0.04
reverse_splits,AGMH,2025-06-03,50,1,0.02
reverse_splits,AGNPF,2021-11-24,100,1,0.01
forward_splits,AGNPF,2023-03-03,1,4,4
reverse_splits,AGNPF,2026-04-21,10,1,0.1
reverse_splits,AGRI,2023-10-11,50,1,0.02
reverse_splits,AGRI,2024-12-05,100,1,0.01
reverse_splits,AGRI,2025-07-28,9,1,0.1111111111
reverse_splits,AGRX,2022-04-27,40,1,0.025
reverse_splits,AGRX,2023-04-11,50,1,0.02
forward_splits,AGZD,2023-08-10,1,2,2
reverse_splits,AHC,2021-06-08,4,1,0.25
reverse_splits,AHCP,2020-07-15,200,1,0.005
reverse_splits,AHELF,2022-05-25,3,1,0.3333333333
reverse_splits,AHI,2023-06-30,4,1,0.25
reverse_splits,AHIX,2020-12-21,1000,1,0.001
reverse_splits,AHNRF,2026-04-02,9.9,1,0.101010101
reverse_splits,AHT,2020-07-16,10,1,0.1
reverse_splits,AHT,2021-07-19,10,1,0.1
reverse_splits,AHT,2024-10-28,10,1,0.1
reverse_splits,AIBD,2026-07-15,10,1,0.1
reverse_splits,AIFA,2026-06-12,6,1,0.1666666667
reverse_splits,AIFF,2024-08-13,3,1,0.3333333333
reverse_splits,AIFU,2025-05-19,20,1,0.05
reverse_splits,AIFU,2026-06-16,20,1,0.05
reverse_splits,AIHS,2022-04-06,10,1,0.1
reverse_splits,AIHS,2025-07-29,10,1,0.1
reverse_splits,AIIO,2026-04-06,20,1,0.05
reverse_splits,AIIO,2026-06-03,10,1,0.1
reverse_splits,AIKI,2022-06-07,17,1,0.05882352941
reverse_splits,AIMD,2023-12-14,5,1,0.2
reverse_splits,AIMD,2025-06-30,5,1,0.2
reverse_splits,AIMID,2025-06-12,100,1,0.01
reverse_splits,AINV,2018-12-03,3,1,0.3333333333
reverse_splits,AIOS,2026-04-27,20,1,0.05
reverse_splits,AIRE,2026-04-30,25,1,0.04
reverse_splits,AIRI,2022-10-18,10,1,0.1
forward_splits,AIRT,2019-06-10,2,3,1.5
reverse_splits,AIRTP,2020-01-14,10,1,0.1
reverse_splits,AISSF,2024-03-08,10,1,0.1
reverse_splits,AITX,2026-03-13,100,1,0.01
reverse_splits,AIU,2024-07-29,5,1,0.2
reverse_splits,AIV,2019-02-21,1.03119,1,0.9697533917
reverse_splits,AIV,2020-12-01,1.23821,1,0.8076174478
forward_splits,AIV,2020-12-15,1000,9295,9.295
reverse_splits,AIXI,2024-08-23,9,1,0.1111111111
reverse_splits,AIXI,2026-05-11,20,1,0.05
reverse_splits,AIXN,2020-10-28,4,1,0.25
reverse_splits,AIXN,2023-02-17,2,1,0.5
reverse_splits,AIYY,2025-12-02,10,1,0.1
reverse_splits,AKA,2023-10-02,12,1,0.08333333333
reverse_splits,AKAN,2023-03-09,10,1,0.1
reverse_splits,AKAN,2024-05-23,40,1,0.025
reverse_splits,AKAN,2024-11-14,2,1,0.5
reverse_splits,AKAN,2025-08-26,3.125,1,0.32
reverse_splits,AKAN,2026-01-12,5,1,0.2
reverse_splits,AKAN,2026-04-13,4.5,1,0.2222222222
reverse_splits,AKER,2018-11-08,8,1,0.125
reverse_splits,AKER,2019-11-25,24,1,0.04166666667
reverse_splits,AKER,2021-04-19,2,1,0.5
reverse_splits,AKTX,2023-08-17,20,1,0.05
reverse_splits,AKTX,2026-03-31,40,1,0.025
forward_splits,ALAXL,2022-12-06,1,3,3
reverse_splits,ALBT,2023-01-05,10,1,0.1
reverse_splits,ALBT,2024-10-28,15,1,0.06666666667
reverse_splits,ALCE,2024-10-11,25,1,0.04
reverse_splits,ALCE,2026-08-20,2500,1,0.0004
reverse_splits,ALCED,2025-09-05,200,1,0.005
reverse_splits,ALCUF,2023-10-23,4,1,0.25
reverse_splits,ALDS,2026-06-12,250,1,0.004
forward_splits,ALDVF,2021-12-02,1,3,3
forward_splits,ALEDY,2020-09-10,1,3.2,3.2
reverse_splits,ALGLF,2022-06-30,10,1,0.1
reverse_splits,ALGS,2024-08-19,25,1,0.04
reverse_splits,ALIM,2019-11-15,15,1,0.06666666667
reverse_splits,ALIT,2026-07-01,20,1,0.05
reverse_splits,ALLR,2023-03-27,35,1,0.02857142857
reverse_splits,ALLR,2023-06-29,40,1,0.025
reverse_splits,ALLR,2024-04-09,20,1,0.05
reverse_splits,ALLR,2024-09-11,30,1,0.03333333333
reverse_splits,ALN,2018-10-01,25,1,0.04
forward_splits,ALPIB,2020-12-02,1,150,150
reverse_splits,ALPP,2023-05-15,8,1,0.125
reverse_splits,ALRN,2022-11-11,20,1,0.05
reverse_splits,ALT,2018-09-14,30,1,0.03333333333
reverse_splits,ALTM,2020-07-01,20,1,0.05
reverse_splits,ALTN,2020-11-13,100,1,0.01
reverse_splits,ALUR,2025-01-03,25,1,0.04
reverse_splits,ALUR,2026-06-18,15,1,0.06666666667
reverse_splits,ALVLF,2020-07-02,5,1,0.2
reverse_splits,ALVR,2025-01-16,23,1,0.04347826087
reverse_splits,ALZN,2023-10-31,15,1,0.06666666667
reverse_splits,ALZN,2024-07-16,10,1,0.1
reverse_splits,ALZN,2025-05-12,9,1,0.1111111111
reverse_splits,AMBO,2024-02-20,10,1,0.1
reverse_splits,AMC,2023-08-24,10,1,0.1
reverse_splits,AMCN,2019-04-11,5,1,0.2
reverse_splits,AMCR,2026-01-15,5,1,0.2
reverse_splits,AMDD,2026-07-15,10,1,0.1
reverse_splits,AMDY,2025-12-08,5,1,0.2
reverse_splits,AMEFF,2022-01-13,25,1,0.04
reverse_splits,AMIH,2022-05-13,60,1,0.01666666667
reverse_splits,AMIX,2024-10-25,20,1,0.05
reverse_splits,AMIX,2026-06-24,21,1,0.04761904762
reverse_splits,AMLP,2020-05-18,5,1,0.2
reverse_splits,AMMX,2020-12-21,50,1,0.02
reverse_splits,AMOD,2026-06-15,40,1,0.025
forward_splits,AMOT,2021-05-03,2,3,1.5
reverse_splits,AMPE,2022-11-10,15,1,0.06666666667
reverse_splits,AMPE,2023-09-12,20,1,0.05
reverse_splits,AMPG,2021-02-17,20,1,0.05
reverse_splits,AMREX,2022-01-07,10,1,0.1
reverse_splits,AMRH,2019-11-25,25,1,0.04
reverse_splits,AMRH,2020-12-31,4,1,0.25
forward_splits,AMRK,2022-06-07,1,2,2
reverse_splits,AMRN,2025-04-11,20,1,0.05
reverse_splits,AMSSY,2024-10-07,10,1,0.1
reverse_splits,AMST,2023-02-22,12,1,0.08333333333
reverse_splits,AMTD,2022-11-22,2,1,0.5
reverse_splits,AMTD,2023-11-17,3,1,0.3333333333
reverse_splits,AMWL,2024-07-11,20,1,0.05
reverse_splits,AMZA,2020-03-31,10,1,0.1
reverse_splits,AMZE,2025-06-13,23,1,0.04347826087
reverse_splits,AMZE,2026-07-27,8,1,0.125
forward_splits,AMZN,2022-06-06,1,20,20
reverse_splits,ANCN,2021-03-17,16,1,0.0625
forward_splits,ANET,2021-11-18,1,4,4
forward_splits,ANET,2024-12-04,1,4,4
reverse_splits,ANFI,2019-12-20,20,1,0.05
reverse_splits,ANGCF,2022-01-31,10,1,0.1
reverse_splits,ANGH,2025-08-04,10,1,0.1
reverse_splits,ANGI,2025-03-24,10,1,0.1
reverse_splits,ANGN,2023-06-02,10,1,0.1
reverse_splits,ANICF,2024-03-05,10,1,0.1
reverse_splits,ANLBF,2020-09-21,10,1,0.1
reverse_splits,ANLDF,2025-08-01,75,1,0.01333333333
reverse_splits,ANPC,2022-11-04,20,1,0.05
reverse_splits,ANTE,2022-12-12,4,1,0.25
reverse_splits,ANTGF,2020-12-18,20,1,0.05
reverse_splits,ANY,2018-11-06,8,1,0.125
reverse_splits,ANY,2023-06-29,7,1,0.1428571429
reverse_splits,ANY,2026-02-10,10,1,0.1
reverse_splits,AOTVF,2025-12-16,50,1,0.02
reverse_splits,APCOF,2020-08-12,2,1,0.5
reverse_splits,APCX,2022-01-05,9.5,1,0.1052631579
reverse_splits,APDN,2019-11-01,40,1,0.025
reverse_splits,APDN,2024-04-25,20,1,0.05
reverse_splits,APDN,2025-03-14,50,1,0.02
reverse_splits,APDN,2025-06-02,15,1,0.06666666667
reverse_splits,APECX,2020-09-14,4,1,0.25
reverse_splits,APEOF,2021-11-29,10,1,0.1
reverse_splits,APEOF,2026-07-14,3,1,0.3333333333
reverse_splits,APEX,2019-09-27,3,1,0.3333333333
reverse_splits,APEX,2020-09-02,10,1,0.1
forward_splits,APG,2025-07-01,2,3,1.5
reverse_splits,APGOF,2025-09-15,5,1,0.2
forward_splits,APH,2021-03-05,1,2,2
forward_splits,APH,2024-06-12,1,2,2
forward_splits,APH,2026-09-03,1,2,2
reverse_splits,APHB,2019-05-10,14,1,0.07142857143
reverse_splits,APHD,2020-05-22,100,1,0.01
reverse_splits,APLD,2022-04-13,6,1,0.1666666667
reverse_splits,APLM,2024-11-25,100,1,0.01
forward_splits,APLX,2026-03-10,1,3,3
reverse_splits,APLZ,2026-06-03,5,1,0.2
reverse_splits,APM,2023-01-23,10,1,0.1
reverse_splits,APM,2026-07-20,10,1,0.1
reverse_splits,APOP,2019-10-23,5,1,0.2
reverse_splits,APOP,2021-09-24,4,1,0.25
forward_splits,APPX,2025-10-21,1,3,3
reverse_splits,APPX,2026-03-10,3,1,0.3333333333
reverse_splits,APRE,2023-02-13,20,1,0.05
reverse_splits,APRN,2019-06-17,15,1,0.06666666667
reverse_splits,APRN,2023-06-08,12,1,0.08333333333
reverse_splits,APTO,2023-06-06,15,1,0.06666666667
reverse_splits,APTO,2025-02-26,30,1,0.03333333333
reverse_splits,APUS,2026-07-24,10,1,0.1
reverse_splits,APVO,2020-03-27,14,1,0.07142857143
reverse_splits,APVO,2024-03-06,44,1,0.02272727273
reverse_splits,APVO,2024-12-04,37,1,0.02702702703
reverse_splits,APVO,2025-05-27,20,1,0.05
reverse_splits,APVO,2025-12-30,18,1,0.05555555556
reverse_splits,APYP,2022-03-14,200,1,0.005
reverse_splits,AQB,2023-10-16,20,1,0.05
reverse_splits,AQMS,2024-11-05,20,1,0.05
reverse_splits,AQMS,2025-08-04,10,1,0.1
reverse_splits,ARBB,2025-06-02,15,1,0.06666666667
reverse_splits,ARBK,2025-12-12,216,1,0.00462962963
reverse_splits,ARCI,2019-04-22,5,1,0.2
reverse_splits,ARCUF,2025-12-30,10,1,0.1
reverse_splits,ARCX,2025-12-02,5,1,0.2
reverse_splits,AREB,2022-02-07,80,1,0.0125
reverse_splits,AREB,2023-06-27,25,1,0.04
reverse_splits,AREB,2024-10-02,9,1,0.1111111111
reverse_splits,AREB,2025-03-31,25,1,0.04
reverse_splits,AREB,2025-10-03,20,1,0.05
reverse_splits,AREB,2026-02-02,20,1,0.05
reverse_splits,AREB,2026-03-23,100,1,0.01
reverse_splits,AREXF,2022-11-29,3,1,0.3333333333
reverse_splits,ARFXF,2022-06-28,60,1,0.01666666667
reverse_splits,ARGGY,2020-12-17,20,1,0.05
reverse_splits,ARGQ,2022-07-20,100,1,0.01
reverse_splits,ARGS,2018-01-19,20,1,0.05
forward_splits,ARGYF,2020-12-11,1,2,2
reverse_splits,ARHH,2021-09-08,5,1,0.2
forward_splits,ARKB,2025-06-16,1,3,3
reverse_splits,ARLYF,2026-05-26,5,1,0.2
reverse_splits,ARMC,2021-09-09,10,1,0.1
forward_splits,ARMH,2026-07-14,1,10,10
forward_splits,ARMZF,2020-08-26,1,15,15
reverse_splits,ARNC,2020-04-01,1,0.25,0.25
reverse_splits,ARPO,2021-08-27,15,1,0.06666666667
reverse_splits,ARQQ,2024-09-25,25,1,0.04
reverse_splits,ARR,2023-10-02,5,1,0.2
reverse_splits,ARSN,2022-08-08,150,1,0.006666666667
reverse_splits,ARTH,2023-01-18,200,1,0.005
reverse_splits,ARTL,2022-08-10,15,1,0.06666666667
reverse_splits,ARTL,2025-06-13,6,1,0.1666666667
reverse_splits,ARTL,2026-03-10,3,1,0.3333333333
reverse_splits,ARTL,2026-08-31,9,1,0.1111111111
reverse_splits,ARVL,2023-04-14,50,1,0.02
reverse_splits,ARYAU,2020-07-01,1,0.5,0.5
reverse_splits,ASBP,2026-01-16,40,1,0.025
reverse_splits,ASBP,2026-05-11,30,1,0.03333333333
reverse_splits,ASCK,2021-02-22,40,1,0.025
reverse_splits,ASDN,2021-02-05,15,1,0.06666666667
forward_splits,ASHGY,2025-12-30,1,4,4
reverse_splits,ASKE,2026-06-25,1000,1,0.001
reverse_splits,ASLN,2023-03-13,5,1,0.2
reverse_splits,ASLN,2024-07-03,8,1,0.125
reverse_splits,ASMB,2024-02-12,12,1,0.08333333333
forward_splits,ASMH,2026-07-14,1,10,10
reverse_splits,ASNA,2019-12-19,20,1,0.05
reverse_splits,ASNB,2022-03-11,50,1,0.02
reverse_splits,ASNS,2019-03-14,6,1,0.1666666667
reverse_splits,ASNS,2023-04-19,10,1,0.1
reverse_splits,ASNS,2025-11-18,10,1,0.1
reverse_splits,ASPCF,2022-04-29,200,1,0.005
reverse_splits,ASPS,2025-05-28,8,1,0.125
forward_splits,ASRE,2021-09-15,1,3,3
reverse_splits,ASRT,2021-05-18,4,1,0.25
reverse_splits,ASRT,2025-12-26,15,1,0.06666666667
reverse_splits,ASST,2024-07-02,5,1,0.2
reverse_splits,ASST,2026-02-06,20,1,0.05
reverse_splits,ASTC,2022-12-05,30,1,0.03333333333
reverse_splits,ASTI,2022-01-31,5000,1,0.0002
reverse_splits,ASTI,2023-09-12,200,1,0.005
reverse_splits,ASTI,2024-08-15,100,1,0.01
reverse_splits,ASTR,2023-09-14,15,1,0.06666666667
reverse_splits,ASWRF,2026-07-14,20,1,0.05
reverse_splits,ATAO,2023-03-15,25,1,0.04
reverse_splits,ATAX,2022-04-04,3,1,0.3333333333
reverse_splits,ATBPF,2020-12-01,10,1,0.1
reverse_splits,ATCH,2025-01-02,60,1,0.01666666667
reverse_splits,ATDS,2021-07-01,2000,1,0.0005
reverse_splits,ATDS,2022-03-08,8,1,0.125
reverse_splits,ATDS,2023-09-20,600,1,0.001666666667
reverse_splits,ATER,2024-03-22,12,1,0.08333333333
forward_splits,ATEYY,2023-10-11,1,4,4
reverse_splits,ATHA,2025-09-18,10,1,0.1
reverse_splits,ATHE,2023-01-09,10,1,0.1
reverse_splits,ATHX,2022-08-29,25,1,0.04
reverse_splits,ATIF,2021-08-30,5,1,0.2
reverse_splits,ATIP,2023-06-15,50,1,0.02
reverse_splits,ATIS,2019-03-18,8,1,0.125
reverse_splits,ATISW,2019-03-18,8,1,0.125
forward_splits,ATLCY,2022-05-23,1,4,4
forward_splits,ATLKY,2022-05-23,1,4,4
reverse_splits,ATLX,2022-12-23,750,1,0.001333333333
reverse_splits,ATLYF,2022-12-20,8,1,0.125
reverse_splits,ATMFF,2023-01-12,20,1,0.05
reverse_splits,ATMGF,2025-07-10,10,1,0.1
reverse_splits,ATMMF,2023-10-18,5,1,0.2
reverse_splits,ATNF,2022-12-19,20,1,0.05
reverse_splits,ATNF,2024-02-28,19,1,0.05263157895
reverse_splits,ATNM,2020-08-11,30,1,0.03333333333
reverse_splits,ATNX,2023-02-15,20,1,0.05
reverse_splits,ATOS,2018-04-20,12,1,0.08333333333
reverse_splits,ATOS,2026-02-02,15,1,0.06666666667
reverse_splits,ATPC,2024-08-30,20,1,0.05
reverse_splits,ATPC,2026-02-10,50,1,0.02
reverse_splits,ATPT,2020-12-18,100000,1,1e-05
reverse_splits,ATRA,2024-06-20,25,1,0.04
reverse_splits,ATRX,2022-10-06,20,1,0.05
reverse_splits,ATTO,2020-07-30,5.02709,1,0.1989222393
reverse_splits,ATUUF,2021-12-23,10,1,0.1
reverse_splits,ATVK,2026-01-20,1200,1,0.0008333333333
reverse_splits,ATXG,2023-06-30,10,1,0.1
reverse_splits,ATXG,2026-03-30,15,1,0.06666666667
reverse_splits,ATXI,2022-09-23,15,1,0.06666666667
reverse_splits,ATXI,2024-04-26,75,1,0.01333333333
reverse_splits,ATXMF,2022-06-06,30,1,0.03333333333
reverse_splits,AUDA,2023-06-30,30,1,0.03333333333
reverse_splits,AUG,2020-10-13,10,6.756267,0.6756267
reverse_splits,AUGAX,2020-09-14,4,1,0.25
reverse_splits,AUGCX,2020-09-14,4,1,0.25
reverse_splits,AUHIF,2025-11-06,10,1,0.1
reverse_splits,AUID,2023-07-10,8,1,0.125
reverse_splits,AULT,2023-05-18,300,1,0.003333333333
reverse_splits,AULT,2024-01-17,25,1,0.04
reverse_splits,AUMN,2023-06-09,25,1,0.04
reverse_splits,AURE,2026-02-19,10,1,0.1
reverse_splits,AURQF,2021-05-04,10,1,0.1
reverse_splits,AUUD,2024-02-27,25,1,0.04
reverse_splits,AUUD,2025-03-31,17,1,0.05882352941
reverse_splits,AUUD,2026-04-01,7.7,1,0.1298701299
reverse_splits,AUVI,2023-05-31,5,1,0.2
reverse_splits,AUVI,2023-12-12,25,1,0.04
reverse_splits,AUXRF,2020-06-30,5,1,0.2
reverse_splits,AUXXF,2025-06-02,2,1,0.5
reverse_splits,AVCT,2022-10-03,15,1,0.06666666667
reverse_splits,AVEO,2020-02-20,10,1,0.1
forward_splits,AVGO,2024-07-15,1,10,10
reverse_splits,AVGR,2018-01-31,40,1,0.025
reverse_splits,AVGR,2019-06-24,10,1,0.1
reverse_splits,AVGR,2022-03-15,20,1,0.05
reverse_splits,AVGR,2023-09-13,15,1,0.06666666667
reverse_splits,AVIR,2018-02-14,11,1,0.09090909091
reverse_splits,AVLNF,2026-07-08,180,1,0.005555555556
reverse_splits,AVMR,2023-04-17,10,1,0.1
forward_splits,AVNI,2023-04-19,1,3,3
forward_splits,AVNW,2021-04-08,1,2,2
reverse_splits,AVOI,2023-08-22,100,1,0.01
reverse_splits,AVPMF,2020-12-21,4,1,0.25
reverse_splits,AVTX,2022-07-08,12,1,0.08333333333
reverse_splits,AVTX,2023-12-29,240,1,0.004166666667
reverse_splits,AVVIY,2022-06-06,10,7.6,0.76
reverse_splits,AVX,2026-06-15,12,1,0.08333333333
reverse_splits,AVXX,2026-03-23,3,1,0.3333333333
reverse_splits,AWEB,2021-10-18,10,1,0.1
reverse_splits,AWH,2023-05-12,15,1,0.06666666667
reverse_splits,AWIN,2024-04-02,100,1,0.01
reverse_splits,AWLIF,2023-12-07,6,1,0.1666666667
reverse_splits,AWP,2026-02-09,3,1,0.3333333333
reverse_splits,AWSM,2020-10-14,10,1,0.1
reverse_splits,AXAS,2020-10-19,20,1,0.05
reverse_splits,AXDX,2023-07-12,10,1,0.1
reverse_splits,AXGT,2019-05-08,8,1,0.125
reverse_splits,AXLA,2023-09-19,25,1,0.04
reverse_splits,AXTU,2026-08-24,10,1,0.1
reverse_splits,AXVEF,2020-11-04,2,1,0.5
reverse_splits,AYRO,2023-09-18,8,1,0.125
reverse_splits,AYRO,2025-06-26,16,1,0.0625
reverse_splits,AYTU,2018-08-13,20,1,0.05
reverse_splits,AYTU,2020-12-09,10,1,0.1
reverse_splits,AYTU,2023-01-06,20,1,0.05
reverse_splits,AZ,2024-10-08,2.5,1,0.4
reverse_splits,AZI,2025-12-12,50,1,0.02
reverse_splits,AZI,2026-03-23,10,1,0.1
reverse_splits,AZLUQ,2026-02-11,1,0.1,0.1
reverse_splits,AZLUY,2026-03-02,75,1,0.01333333333
reverse_splits,AZRX,2021-09-13,10,1,0.1
reverse_splits,AZTR,2024-07-01,30,1,0.03333333333
reverse_splits,AZTR,2025-08-21,6.66,1,0.1501501502
reverse_splits,AZULD,2026-01-05,1,6e-05,6e-05
reverse_splits,AZURF,2022-04-21,2.5,1,0.4
reverse_splits,AZURF,2025-12-23,6,1,0.1666666667
reverse_splits,BABL,2024-08-15,100,1,0.01
reverse_splits,BABYF,2025-11-06,10,1,0.1
reverse_splits,BABYF,2026-07-07,10,1,0.1
reverse_splits,BACK,2023-09-08,30,1,0.03333333333
reverse_splits,BAIG,2026-05-05,10,1,0.1
forward_splits,BAM,2020-04-02,2,3,1.5
reverse_splits,BANL,2026-07-20,13,1,0.07692307692
reverse_splits,BANT,2023-07-17,1000,1,0.001
reverse_splits,BAOS,2022-05-25,3.2,1,0.3125
reverse_splits,BAOS,2023-03-22,6,1,0.1666666667
forward_splits,BAR,2019-03-11,1,10,10
reverse_splits,BARK,2026-04-01,20,1,0.05
reverse_splits,BARRF,2020-06-02,2,1,0.5
reverse_splits,BATXF,2025-10-28,20,1,0.05
reverse_splits,BAYP,2021-01-11,10000,1,0.0001
reverse_splits,BBAX,2021-04-12,2,1,0.5
reverse_splits,BBBMF,2020-09-17,2,1,0.5
reverse_splits,BBBMF,2023-03-10,10,1,0.1
reverse_splits,BBBXF,2026-02-20,10,1,0.1
reverse_splits,BBCA,2021-04-12,2,1,0.5
reverse_splits,BBCMF,2024-12-20,10,1,0.1
reverse_splits,BBCMF,2025-11-03,1.5,1,0.6666666667
reverse_splits,BBCMF,2025-11-07,1.5,1,0.6666666667
reverse_splits,BBEU,2021-04-12,2,1,0.5
reverse_splits,BBGI,2024-09-24,20,1,0.05
reverse_splits,BBI,2022-07-05,45,1,0.02222222222
reverse_splits,BBIG,2023-05-11,20,1,0.05
reverse_splits,BBII,2022-08-17,50,1,0.02
reverse_splits,BBJP,2021-04-12,2,1,0.5
