key,exit,n,gross,s4,step1_spread_table,step2_entry_025,step3_target_charge,corrected,total_delta
"F5 {""K"": 3, ""X"": 0.02}",hold,2516,-0.091,-0.821,0.502,0.097,0.0,-0.223,0.599
"F5 {""K"": 5, ""X"": 0.02}",2r,2935,-0.098,-0.726,0.431,0.093,-0.032,-0.234,0.492
"F5 {""K"": 8, ""X"": 0.02}",2r,2806,-0.109,-0.729,0.431,0.089,-0.028,-0.237,0.492
F7 {},2r,1448,-0.194,-0.456,0.182,0.038,-0.005,-0.241,0.215
"F3 {""M"": 30, ""P"": 0.1}",hold,1170,-0.127,-0.817,0.484,0.085,0.0,-0.248,0.569
F4 {},hold,1982,-0.167,-0.838,0.511,0.067,0.0,-0.26,0.578
"F2 {""P"": 0.12}",2r,847,-0.167,-0.763,0.451,0.069,-0.026,-0.27,0.493
"F3 {""M"": 30, ""P"": 0.1}",2r,1243,-0.144,-0.75,0.426,0.085,-0.032,-0.271,0.478
"F1 {""P"": 0.08}",2r,2178,-0.163,-0.765,0.447,0.073,-0.026,-0.272,0.494
"F3 {""M"": 15, ""P"": 0.1}",2r,890,-0.156,-0.731,0.4,0.082,-0.03,-0.279,0.452
"F5 {""K"": 3, ""X"": 0.02}",2r,2937,-0.138,-0.793,0.448,0.097,-0.033,-0.282,0.512
"F2 {""P"": 0.08}",2r,1948,-0.162,-0.832,0.491,0.085,-0.033,-0.289,0.543
F4 {},2r,2105,-0.196,-0.805,0.464,0.067,-0.023,-0.296,0.509
"F1 {""P"": 0.05}",2r,2944,-0.161,-0.846,0.485,0.094,-0.033,-0.301,0.545
"F3 {""M"": 15, ""P"": 0.05}",2r,2110,-0.164,-0.807,0.433,0.098,-0.035,-0.311,0.496
"F2 {""P"": 0.05}",2r,2823,-0.159,-0.903,0.524,0.103,-0.038,-0.313,0.589
"F3 {""M"": 30, ""P"": 0.05}",2r,2450,-0.172,-0.832,0.447,0.099,-0.035,-0.321,0.511
