kind,scenario,day_seed,expected,got,rej,n_bars,sig_bar,sig_minute,tail,adv20,k
MISMATCH,C,1768922081,,"{'limit': 23.27, 'sl': 22.7, 'level': 23.13, 'stop': 22.7, 'rv': 3.749213860956258, 'n_orders': 1}",ordered,98.0,42,621.0,"[('late', 42, 1)]",897744.2142198621,
MISMATCH,C,396318534,"{'bar_idx': 71, 'minute': 644, 'level': 2.99, 'stop': 2.94, 'rv': 1.134478789185853, 'limit': 3.01, 'sl': 2.94}",,no_chase,354.0,71,644.0,"[('late', 71, 3)]",2614313.2925842004,
STALE_EXPECTED_BUT,E,203435143,,"{'limit': 2.86, 'sl': 2.74, 'level': 2.84, 'stop': 2.74, 'rv': 2.089304755502469, 'n_orders': 1}",ordered,,9,,,,11.0
STALE_EXPECTED_BUT,E,448430999,,"{'limit': 57.63, 'sl': 55.65, 'level': 57.29, 'stop': 55.65, 'rv': 2.7595519935859048, 'n_orders': 1}",ordered,,14,,,,16.0
MISMATCH,C,1483373747,"{'bar_idx': 128, 'minute': 700, 'level': 36.39, 'stop': 35.51, 'rv': 1.1690825665906666, 'limit': 36.61, 'sl': 35.51}","{'limit': 36.61, 'sl': 35.51, 'level': 36.39, 'stop': 35.51, 'rv': 1.1506038044450315, 'n_orders': 1}",ordered,275.0,128,700.0,"[('late', 127, 3)]",2959289.9372215797,
MISMATCH,C,1585467760,"{'bar_idx': 148, 'minute': 719, 'level': 63.16, 'stop': 61.6, 'rv': 1.2120255513049252, 'limit': 63.54, 'sl': 61.6}","{'limit': 63.54, 'sl': 61.6, 'level': 63.16, 'stop': 61.6, 'rv': 1.2044025084489232, 'n_orders': 1}",ordered,258.0,148,719.0,"[('late', 147, 3)]",3400470.596212491,
STALE_EXPECTED_BUT,E,1812543161,,"{'limit': 27.2, 'sl': 26.16, 'level': 27.04, 'stop': 26.16, 'rv': 3.976820760685424, 'n_orders': 1}",ordered,,33,,,,35.0
MISMATCH,D,478783223,"{'bar_idx': 6, 'minute': 576, 'level': 45.72, 'stop': 43.97, 'rv': 1.6231257804820076, 'limit': 45.99, 'sl': 43.97}",,,369.0,6,576.0,"[('post_cut_first', 16)]",3684002.849258104,
STALE_EXPECTED_BUT,E,1551213353,,,no_chase,,9,,,,11.0
MISMATCH,D,2086951647,"{'bar_idx': 9, 'minute': 580, 'level': 19.4, 'stop': 18.7, 'rv': 1.062538158215338, 'limit': 19.52, 'sl': 18.7}",,,360.0,9,580.0,"[('post_cut_first', 11)]",2970387.4402978034,
STALE_EXPECTED_BUT,E,304775486,,"{'limit': 41.88, 'sl': 40.09, 'level': 41.63, 'stop': 40.09, 'rv': 2.5267698143438966, 'n_orders': 1}",ordered,,9,,,,11.0
MISMATCH,E,955164948,"{'bar_idx': 149, 'minute': 719, 'level': 50.02, 'stop': 49.09, 'rv': 2.2048004635255363, 'limit': 50.32, 'sl': 49.09}","{'limit': 50.32, 'sl': 48.59, 'level': 50.02, 'stop': 48.59, 'rv': 2.190988283122521, 'n_orders': 1}",ordered,246.0,149,719.0,"[('hole', 148, 1)]",1654969.4105131943,
MISMATCH,D,2053831712,"{'bar_idx': 8, 'minute': 580, 'level': 41.05, 'stop': 39.95, 'rv': 1.2696101935975583, 'limit': 41.3, 'sl': 39.95}",,,312.0,8,580.0,"[('post_cut_first', 5)]",4227833.099535948,
STALE_EXPECTED_BUT,E,1825640825,,"{'limit': 59.05, 'sl': 57.09, 'level': 58.7, 'stop': 57.09, 'rv': 3.8443338140404903, 'n_orders': 1}",ordered,,18,,,,21.0
MISMATCH,E,153898193,"{'bar_idx': 8, 'minute': 581, 'level': 25.63, 'stop': 24.75, 'rv': 2.704718089358046, 'limit': 25.78, 'sl': 24.75}","{'limit': 25.78, 'sl': 24.63, 'level': 25.63, 'stop': 24.63, 'rv': 2.6564817001008105, 'n_orders': 1}",ordered,313.0,8,581.0,"[('hole', 6, 2)]",2255558.545640505,
STALE_EXPECTED_BUT,E,1150189954,,,no_chase,,14,,,,16.0
MISMATCH,E,1233734280,"{'bar_idx': 9, 'minute': 579, 'level': 1.8, 'stop': 1.74, 'rv': 1.9937365112807213, 'limit': 1.81, 'sl': 1.74}","{'limit': 1.8, 'sl': 1.72, 'level': 1.79, 'stop': 1.72, 'rv': 1.8359321804596072, 'n_orders': 1}",ordered,265.0,9,579.0,"[('hole', 7, 2)]",3432098.454978104,
MISMATCH,C,19015713,"{'bar_idx': 54, 'minute': 624, 'level': 29.15, 'stop': 28.35, 'rv': 1.6239435442828412, 'limit': 29.32, 'sl': 28.35}","{'limit': 29.36, 'sl': 28.61, 'level': 29.18, 'stop': 28.61, 'rv': 1.7071232891916606, 'n_orders': 1}",ordered,122.0,54,624.0,"[('late', 53, 3)]",2890399.3475325014,
MISMATCH,C,598967148,"{'bar_idx': 8, 'minute': 579, 'level': 61.03, 'stop': 58.93, 'rv': 3.2975709849633748, 'limit': 61.4, 'sl': 58.93}","{'limit': 61.88, 'sl': 59.94, 'level': 61.51, 'stop': 59.94, 'rv': 4.100067634813701, 'n_orders': 1}",ordered,197.0,8,579.0,"[('late', 6, 3)]",1457451.5672036032,
MISMATCH,D,1438122137,"{'bar_idx': 8, 'minute': 578, 'level': 51.58, 'stop': 49.57, 'rv': 1.2466522022336286, 'limit': 51.89, 'sl': 49.57}",,,350.0,8,578.0,"[('post_cut_first', 2)]",4582713.598679664,
MISMATCH,E,1398925947,"{'bar_idx': 23, 'minute': 602, 'level': 40.41, 'stop': 39.97, 'rv': 2.387052098793846, 'limit': 40.65, 'sl': 39.97}","{'limit': 40.65, 'sl': 39.97, 'level': 40.41, 'stop': 39.97, 'rv': 2.306719496467937, 'n_orders': 1}",ordered,141.0,23,602.0,"[('hole', 21, 2)]",1180401.7238647116,
STALE_EXPECTED_BUT,E,1774816542,,,no_chase,,10,,,,12.0
STALE_EXPECTED_BUT,E,382029247,,,no_chase,,10,,,,12.0
MISMATCH,C,1122263092,"{'bar_idx': 69, 'minute': 647, 'level': 40.75, 'stop': 40.16, 'rv': 1.4862558181136356, 'limit': 40.99, 'sl': 40.16}","{'limit': 40.99, 'sl': 40.16, 'level': 40.75, 'stop': 40.16, 'rv': 1.453141983870038, 'n_orders': 1}",ordered,159.0,69,647.0,"[('late', 68, 1)]",1854338.4274812816,
MISMATCH,D,1340548352,"{'bar_idx': 9, 'minute': 579, 'level': 14.28, 'stop': 13.84, 'rv': 1.345257922612427, 'limit': 14.37, 'sl': 13.84}",,,382.0,9,579.0,"[('post_cut_first', 21)]",5395210.745836312,
STALE_EXPECTED_BUT,E,916826266,,"{'limit': 37.48, 'sl': 35.95, 'level': 37.26, 'stop': 35.95, 'rv': 3.503656729509887, 'n_orders': 1}",ordered,,11,,,,15.0
MISMATCH,C,1265774116,"{'bar_idx': 82, 'minute': 666, 'level': 27.01, 'stop': 26.59, 'rv': 2.0127917859344127, 'limit': 27.17, 'sl': 26.59}",,r_min,142.0,82,666.0,"[('late', 82, 2)]",1244063.5487941639,
MISMATCH,E,1189492172,"{'bar_idx': 12, 'minute': 582, 'level': 29.54, 'stop': 28.86, 'rv': 1.939494898769445, 'limit': 29.72, 'sl': 28.86}","{'limit': 29.72, 'sl': 28.67, 'level': 29.54, 'stop': 28.67, 'rv': 1.847063472380642, 'n_orders': 1}",ordered,275.0,12,582.0,"[('hole', 10, 2)]",2683611.0800303374,
STALE_EXPECTED_BUT,E,1100793696,,"{'limit': 5.35, 'sl': 5.12, 'level': 5.32, 'stop': 5.12, 'rv': 1.6277041649418267, 'n_orders': 1}",ordered,,9,,,,13.0
MISMATCH,C,964761787,"{'bar_idx': 53, 'minute': 629, 'level': 12.24, 'stop': 11.93, 'rv': 4.8887325014846095, 'limit': 12.31, 'sl': 11.93}",,,64.0,53,629.0,"[('late', 0, 2)]",828994.4188053147,
STALE_EXPECTED_BUT,E,725388574,,"{'limit': 37.73, 'sl': 36.43, 'level': 37.5, 'stop': 36.43, 'rv': 2.28995075285704, 'n_orders': 1}",ordered,,11,,,,13.0
MISMATCH,C,925127559,"{'bar_idx': 33, 'minute': 606, 'level': 41.84, 'stop': 41.04, 'rv': 1.9695529280185846, 'limit': 42.09, 'sl': 41.04}","{'limit': 42.09, 'sl': 41.13, 'level': 41.84, 'stop': 41.13, 'rv': 1.943945638206149, 'n_orders': 1}",ordered,227.0,33,606.0,"[('late', 32, 3)]",1442485.5031694504,
MISMATCH,C,1415926589,"{'bar_idx': 46, 'minute': 616, 'level': 39.01, 'stop': 37.76, 'rv': 2.073647834943255, 'limit': 39.24, 'sl': 37.76}","{'limit': 39.24, 'sl': 38.14, 'level': 39.01, 'stop': 38.14, 'rv': 1.2383966560982065, 'n_orders': 1}",ordered,288.0,46,616.0,"[('late', 46, 3)]",1963236.8558769801,
STALE_EXPECTED_BUT,E,100543416,,,no_chase,,32,,,,34.0
MISMATCH,D,1070793374,"{'bar_idx': 179, 'minute': 756, 'level': 37.57, 'stop': 36.58, 'rv': 1.0008078628626673, 'limit': 37.8, 'sl': 36.58}",,,377.0,179,756.0,"[('post_cut_first', 28)]",2876284.628971875,
MISMATCH,C,1014218755,"{'bar_idx': 9, 'minute': 579, 'level': 31.65, 'stop': 30.4, 'rv': 2.967366416178661, 'limit': 31.84, 'sl': 30.4}","{'limit': 31.97, 'sl': 31.19, 'level': 31.78, 'stop': 31.19, 'rv': 1.4653832739756445, 'n_orders': 1}",ordered,320.0,9,579.0,"[('late', 9, 2)]",3516165.0219916077,
MISMATCH,C,1660980495,"{'bar_idx': 31, 'minute': 607, 'level': 8.98, 'stop': 8.67, 'rv': 1.9080790227835756, 'limit': 9.03, 'sl': 8.67}","{'limit': 9.03, 'sl': 8.67, 'level': 8.98, 'stop': 8.67, 'rv': 1.8741848913718548, 'n_orders': 1}",ordered,176.0,31,607.0,"[('late', 29, 3)]",1547267.8243920836,
MISMATCH,E,1372350970,"{'bar_idx': 9, 'minute': 579, 'level': 15.01, 'stop': 14.52, 'rv': 1.2521660943086828, 'limit': 15.1, 'sl': 14.52}","{'limit': 15.1, 'sl': 14.43, 'level': 15.01, 'stop': 14.43, 'rv': 1.1446256896814582, 'n_orders': 1}",ordered,309.0,9,579.0,"[('hole', 7, 2)]",2460935.505286371,
STALE_EXPECTED_BUT,E,823566574,,"{'limit': 23.27, 'sl': 22.38, 'level': 23.13, 'stop': 22.38, 'rv': 1.3697853211638973, 'n_orders': 1}",ordered,,91,,,,93.0
STALE_EXPECTED_BUT,E,1668623439,,"{'limit': 21.35, 'sl': 20.69, 'level': 21.22, 'stop': 20.69, 'rv': 1.2692809195999903, 'n_orders': 1}",ordered,,86,,,,89.0
STALE_EXPECTED_BUT,E,36432316,,"{'limit': 25.34, 'sl': 24.59, 'level': 25.19, 'stop': 24.59, 'rv': 1.6063335219595396, 'n_orders': 1}",ordered,,91,,,,93.0
MISMATCH,D,18031639,"{'bar_idx': 7, 'minute': 578, 'level': 15.66, 'stop': 15.06, 'rv': 2.2471365944838735, 'limit': 15.75, 'sl': 15.06}",,,313.0,7,578.0,"[('post_cut_first', 3)]",3114941.929735119,
STALE_EXPECTED_BUT,E,1893364602,,,r_min,,44,,,,46.0
MISMATCH,C,1561152359,"{'bar_idx': 159, 'minute': 757, 'level': 29.13, 'stop': 28.27, 'rv': 1.0400466383076838, 'limit': 29.3, 'sl': 28.27}","{'limit': 29.3, 'sl': 28.27, 'level': 29.13, 'stop': 28.27, 'rv': 1.0359819031471489, 'n_orders': 1}",ordered,301.0,159,757.0,"[('late', 157, 3)]",2541592.461819717,
MISMATCH,D,917425468,"{'bar_idx': 10, 'minute': 580, 'level': 49.31, 'stop': 48.06, 'rv': 2.765156333842221, 'limit': 49.61, 'sl': 48.06}",,,372.0,10,580.0,"[('post_cut_first', 20)]",2344767.9686851134,
MISMATCH,C,1546649685,"{'bar_idx': 9, 'minute': 579, 'level': 7.44, 'stop': 7.16, 'rv': 2.9315948968336385, 'limit': 7.48, 'sl': 7.16}","{'limit': 7.52, 'sl': 7.21, 'level': 7.48, 'stop': 7.21, 'rv': 3.1116382860521745, 'n_orders': 1}",ordered,342.0,9,579.0,"[('late', 7, 3)]",1903707.775596085,
STALE_EXPECTED_BUT,E,1725605951,,"{'limit': 60.31, 'sl': 58.07, 'level': 59.95, 'stop': 58.07, 'rv': 1.4180661550056826, 'n_orders': 1}",ordered,,34,,,,38.0
STALE_EXPECTED_BUT,E,1567866347,,"{'limit': 53.26, 'sl': 50.84, 'level': 52.94, 'stop': 50.84, 'rv': 2.774125330368128, 'n_orders': 1}",ordered,,10,,,,13.0
STALE_EXPECTED_BUT,E,1584755550,,"{'limit': 18.86, 'sl': 18.33, 'level': 18.75, 'stop': 18.33, 'rv': 4.630566223795438, 'n_orders': 1}",ordered,,86,,,,89.0
MISMATCH,C,1634188930,"{'bar_idx': 8, 'minute': 579, 'level': 55.89, 'stop': 54.13, 'rv': 1.3551529833867524, 'limit': 56.23, 'sl': 54.13}","{'limit': 56.23, 'sl': 54.13, 'level': 55.89, 'stop': 54.13, 'rv': 1.2383725533096652, 'n_orders': 1}",ordered,232.0,8,579.0,"[('late', 8, 1)]",5360059.04060131,
STALE_EXPECTED_BUT,E,321193072,,"{'limit': 40.23, 'sl': 38.9, 'level': 39.99, 'stop': 38.9, 'rv': 2.329412349458599, 'n_orders': 1}",ordered,,21,,,,24.0
MISMATCH,E,1251652357,"{'bar_idx': 26, 'minute': 599, 'level': 5.92, 'stop': 5.79, 'rv': 4.861348049134443, 'limit': 5.96, 'sl': 5.79}","{'limit': 5.96, 'sl': 5.79, 'level': 5.92, 'stop': 5.79, 'rv': 4.808394302518797, 'n_orders': 1}",ordered,74.0,26,599.0,"[('hole', 25, 1)]",1333387.1095042322,
STALE_EXPECTED_BUT,E,1567115419,,,no_chase,,47,,,,49.0
MISMATCH,C,968341919,"{'bar_idx': 11, 'minute': 581, 'level': 46.89, 'stop': 45.52, 'rv': 4.164688302311909, 'limit': 47.17, 'sl': 45.52}","{'limit': 47.17, 'sl': 45.52, 'level': 46.89, 'stop': 45.52, 'rv': 4.086072880255024, 'n_orders': 1}",ordered,134.0,11,581.0,"[('late', 11, 1)]",2099460.8396374434,
STALE_EXPECTED_BUT,E,1308143974,,,no_chase,,8,,,,11.0
